Call  Failure,Complains,Subscription  Length,Charge  Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Age,Customer Value,target
7,0,26,0,72,21,13,9,1,0,1,1,354,0
0,0,25,0,102,6,24,5,3,0,1,3,320,0
6,0,24,0,202,28,22,15,1,0,0,1,736,0
0,0,24,0,736,57,11,25,2,0,0,2,881,0
0,0,17,0,324,22,31,16,1,0,0,1,1114,0
12,0,16,1,1170,137,88,44,0,1,0,0,2005,0
8,0,14,0,1411,167,76,42,3,0,0,3,1684,0
4,0,15,3,632,41,34,21,2,0,0,2,1292,0
0,0,8,1,960,36,215,12,2,0,0,2,2266,0
0,1,8,1,269,15,3,9,2,0,0,2,258,1
2,0,29,0,929,63,0,11,1,0,0,1,982,0
0,0,30,0,0,0,0,0,1,0,1,1,0,0
4,0,28,0,482,52,299,18,1,0,0,1,2526,0
4,0,29,0,899,58,0,29,0,0,0,0,1147,0
0,0,29,0,466,50,0,27,0,0,0,0,544,0
5,0,29,0,827,74,15,22,1,0,0,1,1203,0
0,0,29,0,458,31,252,12,2,0,0,2,2329,0
7,0,28,0,1413,113,125,37,2,0,0,2,2053,0
1,0,29,0,1587,161,0,38,2,0,0,2,1754,0
1,0,29,0,953,75,0,19,2,0,0,2,901,0
0,0,29,0,1098,87,0,6,1,0,0,1,1340,0
3,0,29,0,421,46,0,11,2,0,1,2,325,0
19,0,29,1,1635,205,37,26,2,0,0,2,1901,0
0,0,29,0,656,19,367,2,2,0,0,2,2591,0
3,0,28,0,1655,174,130,24,1,0,0,1,2373,0
0,0,28,0,1161,78,166,20,2,0,0,2,2139,0
0,0,28,0,74,6,0,5,1,0,1,1,68,0
0,0,29,0,42,6,0,2,1,0,1,1,41,0
0,0,28,0,0,0,0,0,1,0,1,1,0,1
0,0,28,0,1319,119,321,37,1,0,0,1,2594,0
1,0,28,0,1538,146,0,41,2,0,0,2,1715,0
2,0,28,0,1198,67,91,31,1,0,0,1,1835,0
17,0,24,0,93,39,0,11,1,0,1,1,92,1
15,0,27,6,1495,85,0,36,3,0,0,3,1343,0
7,0,27,0,1090,90,9,18,1,0,0,1,1478,1
0,0,25,0,580,14,0,8,2,0,0,2,453,0
3,1,26,0,624,33,0,10,1,0,1,1,582,1
3,0,27,0,430,36,17,25,2,0,1,2,733,1
0,0,27,0,0,0,0,0,1,0,1,1,0,1
0,0,27,0,275,17,0,5,2,0,0,2,198,0
0,0,24,0,1209,89,0,16,3,0,0,3,856,0
0,1,27,0,0,0,0,0,3,0,1,3,0,1
0,0,27,0,0,0,0,0,3,0,0,3,0,0
19,0,22,1,1702,218,0,74,1,0,0,1,1857,0
0,0,25,1,1237,108,240,27,1,1,0,1,2445,0
0,0,27,0,814,74,0,22,1,0,0,1,791,0
0,0,26,0,274,36,21,14,2,0,1,2,692,0
0,0,27,0,565,45,155,17,1,0,0,1,1989,0
0,0,18,0,183,28,173,5,1,1,0,1,2013,0
0,0,17,0,246,31,13,62,3,0,0,3,253,0
5,0,18,0,39,17,0,1,1,0,1,1,42,0
0,0,17,0,0,0,4,0,3,0,1,3,18,0
4,0,16,0,163,24,2,7,1,0,0,1,178,0
0,0,16,0,695,53,0,17,2,0,0,2,562,0
0,0,9,0,285,18,11,8,1,0,0,1,518,0
10,0,8,0,1145,133,68,36,0,1,0,0,1851,0
6,0,6,0,1400,163,56,34,3,0,0,3,1619,0
2,0,7,1,583,37,14,13,2,0,0,2,816,0
0,0,0,0,931,32,195,4,2,0,0,2,2178,0
0,0,0,0,228,11,0,1,1,0,0,1,188,1
8,0,39,0,986,75,13,21,2,0,0,2,1223,0
0,0,40,0,30,9,15,8,1,0,1,1,349,0
10,0,38,0,567,64,321,28,2,0,0,2,2500,0
10,0,39,0,958,70,9,39,0,0,0,0,1456,0
3,0,39,0,551,62,10,37,0,0,0,0,1013,0
11,0,39,1,887,86,40,32,2,0,0,2,1538,0
4,0,39,0,543,43,276,22,2,0,0,2,2365,0
13,0,38,2,1443,125,149,47,2,0,0,2,2202,0
7,0,39,0,1600,173,8,48,2,0,0,2,1779,0
7,0,39,1,1006,87,10,29,2,0,0,2,1196,0
6,0,39,0,1127,99,15,16,2,0,0,2,1496,0
9,1,39,0,511,58,16,21,2,0,1,2,797,0
25,0,39,3,1654,217,62,36,2,0,0,2,2051,0
4,0,39,1,750,31,389,12,2,0,0,2,2637,0
9,0,38,0,1681,186,155,34,1,0,0,1,2430,0
3,0,38,1,1218,90,191,30,2,0,0,2,2263,0
0,0,38,0,160,18,8,15,1,0,1,1,316,0
2,0,39,0,121,18,21,12,2,0,1,2,532,0
0,0,38,0,0,0,8,0,1,0,1,1,122,1
3,0,38,0,1353,131,344,47,1,0,0,1,2642,0
7,0,38,1,1552,158,19,51,3,0,0,3,1584,0
8,0,38,1,1254,79,115,41,1,0,0,1,1995,0
23,1,34,0,178,51,24,21,1,0,1,1,772,1
21,1,37,8,1508,97,9,46,4,1,0,4,916,0
13,0,37,1,1117,102,34,28,1,0,0,1,1691,0
1,0,35,0,681,26,8,18,2,0,0,2,734,0
9,1,36,0,723,45,17,20,2,0,1,2,1015,1
9,0,37,0,519,48,42,35,2,0,1,2,1369,1
0,0,37,0,8,6,8,6,2,0,1,2,120,1
1,0,37,0,363,29,8,10,2,0,0,2,449,0
3,0,34,1,1265,101,22,26,4,0,0,4,685,0
0,1,37,0,97,11,17,8,3,0,1,3,223,1
0,0,37,1,34,8,12,6,4,0,0,4,70,0
25,0,32,3,1725,230,8,84,1,0,0,1,1919,0
6,0,35,3,1294,120,263,37,1,1,0,1,2502,0
2,0,37,0,876,86,10,32,1,0,0,1,1155,0
3,0,36,0,362,48,46,24,2,0,1,2,1326,0
6,0,37,0,665,57,180,27,1,0,0,1,2173,0
4,0,28,1,271,40,198,15,1,1,0,1,2187,0
4,0,27,0,335,43,38,72,3,0,0,3,676,0
11,0,28,0,118,29,18,11,1,0,1,1,537,0
0,0,27,0,148,14,29,7,3,0,1,3,412,0
10,0,26,0,244,36,27,17,1,0,0,1,948,0
2,0,26,0,780,65,16,27,2,0,0,2,1053,0
2,0,19,0,371,30,36,18,1,0,0,1,1267,0
16,0,18,1,1200,145,93,46,1,1,0,1,1847,0
12,0,16,0,1427,175,81,44,3,0,0,3,1699,0
8,0,17,3,686,49,39,23,2,0,0,2,1413,0
2,0,10,1,990,44,220,14,2,0,0,2,2286,0
3,0,10,1,320,23,8,11,2,0,0,2,403,1
0,0,27,0,898,55,0,9,1,0,0,1,932,0
0,0,28,0,0,0,0,0,1,0,1,1,0,0
0,0,26,0,432,44,296,16,1,0,0,1,2514,0
0,0,27,0,870,50,0,27,0,0,0,0,1102,0
0,0,27,0,415,42,0,25,0,0,0,0,480,0
1,0,27,0,785,66,10,20,1,0,0,1,1047,0
0,0,27,0,408,23,248,10,2,0,0,2,2317,0
3,0,26,0,1401,105,120,35,2,0,0,2,2011,0
0,0,27,0,1582,153,0,36,2,0,0,2,1749,0
0,0,27,0,921,67,0,17,2,0,0,2,846,0
0,0,27,0,1082,79,0,4,1,0,0,1,1302,0
0,0,27,0,374,38,0,9,2,0,1,2,286,0
15,0,27,1,1628,199,32,24,1,0,0,1,1971,0
0,0,27,0,600,11,364,7,2,0,0,2,2579,0
0,0,26,0,1644,166,126,22,1,0,0,1,2361,0
0,0,26,0,1136,70,161,18,2,0,0,2,2098,0
0,0,26,0,0,0,0,0,1,0,1,1,0,0
0,0,27,0,0,0,0,0,1,0,1,1,0,0
0,0,26,0,0,0,0,0,1,0,1,1,0,1
0,0,26,0,1296,111,317,35,1,0,0,1,2580,0
0,0,26,0,1529,138,0,39,2,0,0,2,1707,0
0,0,26,0,1168,59,86,29,1,0,0,1,1815,0
13,1,22,0,52,31,0,9,1,0,1,1,58,1
11,0,25,6,1488,77,0,34,3,1,0,3,1319,0
3,0,25,0,1076,82,4,16,1,0,0,1,1364,1
0,0,23,0,533,6,0,6,2,0,0,2,407,0
0,1,24,0,571,25,0,8,1,0,1,1,524,1
0,1,25,0,382,28,12,23,2,0,1,2,574,1
0,0,25,0,0,0,0,0,1,0,1,1,0,1
0,0,25,0,0,0,0,0,2,0,0,2,0,0
0,0,22,0,1179,81,0,14,3,0,0,3,826,0
0,0,25,0,0,0,0,0,2,0,1,2,0,1
0,1,25,0,0,0,0,0,3,0,0,3,0,1
15,0,20,1,1686,210,0,72,1,0,0,1,1845,0
0,0,23,1,1209,100,237,25,1,1,0,1,2429,0
0,0,25,0,771,66,0,20,1,0,0,1,735,0
0,0,24,0,227,28,16,12,2,0,1,2,516,0
0,0,25,0,517,37,150,15,1,0,0,1,1949,0
0,0,16,0,140,20,168,3,1,1,0,1,1967,0
0,0,15,0,203,23,8,60,3,0,0,3,169,0
0,0,16,0,0,0,0,0,1,0,1,1,0,0
0,0,15,0,0,0,0,0,3,0,1,3,0,0
0,0,14,0,119,16,0,5,1,0,0,1,104,0
0,0,14,0,640,45,0,15,2,0,0,2,512,0
0,0,7,0,236,10,6,6,1,0,0,1,341,0
6,0,6,0,1123,125,63,34,0,1,0,0,1821,0
2,0,4,0,1391,155,51,32,3,0,0,3,1591,0
0,0,5,1,538,29,9,11,2,0,0,2,650,0
0,0,0,0,901,24,190,2,1,0,0,1,2269,0
0,0,0,0,0,0,0,0,1,0,0,1,0,1
5,0,36,0,972,73,9,20,1,0,0,1,1256,0
0,0,37,0,19,7,11,7,1,0,1,1,231,0
7,0,35,0,546,62,318,27,1,0,0,1,2546,0
7,0,36,0,942,68,5,38,0,0,0,0,1349,0
0,0,36,0,531,60,6,36,0,0,0,0,848,0
8,0,36,0,873,84,36,31,1,0,0,1,1571,0
1,0,36,0,523,41,273,21,2,0,0,2,2359,0
10,0,35,1,1434,123,145,46,2,0,0,2,2181,0
4,0,36,0,1596,171,4,47,2,0,0,2,1771,0
4,0,36,0,995,85,6,28,2,0,0,2,1104,0
3,0,36,0,1119,97,11,15,1,0,0,1,1544,0
6,0,36,0,491,56,12,20,2,0,1,2,680,0
22,0,36,2,1649,215,58,35,2,0,0,2,2026,0
1,0,36,0,731,29,386,11,2,0,0,2,2628,0
6,0,35,0,1673,184,151,33,1,0,0,1,2420,0
0,0,35,0,1203,88,187,29,2,0,0,2,2246,0
0,0,35,0,140,16,4,14,1,0,1,1,203,0
0,0,36,0,98,16,17,11,1,0,1,1,484,0
0,0,35,0,0,0,4,0,1,0,1,1,52,1
0,0,35,0,1344,129,341,46,1,0,0,1,2636,0
4,0,35,0,1548,156,15,50,2,0,0,2,1744,0
5,0,35,0,1240,77,112,40,1,0,0,1,1967,0
20,1,31,0,160,49,20,20,1,0,1,1,653,1
18,0,34,7,1504,95,5,45,3,1,0,3,1428,0
10,0,34,0,1111,100,30,27,1,0,0,1,1672,1
0,0,32,0,658,24,4,17,2,0,0,2,630,0
6,1,33,0,703,43,13,19,1,0,1,1,1028,1
6,1,34,0,498,46,38,34,2,0,1,2,1277,1
0,0,34,0,1,4,4,5,2,0,1,2,47,1
0,0,34,0,341,27,4,9,2,0,0,2,343,0
0,0,31,0,1252,99,18,25,3,0,0,3,1153,0
0,1,34,0,77,9,13,7,3,0,1,3,161,1
0,0,34,0,22,6,8,5,4,0,0,4,45,0
22,0,29,2,1719,228,4,83,1,0,0,1,1900,0
3,0,32,2,1281,118,259,36,1,1,0,1,2494,0
0,0,34,0,864,84,6,31,1,0,0,1,1048,0
0,0,33,0,340,46,42,23,2,0,1,2,1243,0
3,0,34,0,638,55,176,26,1,0,0,1,2142,0
1,0,25,0,248,38,194,14,1,1,0,1,2162,0
1,0,24,0,320,41,34,71,3,0,0,3,607,0
8,0,25,0,94,27,14,10,1,0,1,1,401,0
0,0,24,0,128,12,25,6,3,0,1,3,351,0
7,0,23,0,227,34,23,16,1,0,0,1,804,0
0,0,23,0,759,63,12,26,2,0,0,2,938,0
0,0,16,0,349,28,32,17,1,0,0,1,1166,0
13,0,15,0,1185,143,89,45,0,1,0,0,2028,0
9,0,13,0,1418,173,77,43,3,0,0,3,1689,0
5,0,14,2,662,47,35,22,2,0,0,2,1328,0
0,0,7,0,976,42,216,13,2,0,0,2,2273,0
0,1,7,0,298,21,4,10,1,0,0,1,350,1
1,0,30,0,908,57,0,10,1,0,0,1,957,0
0,0,31,0,0,0,0,0,1,0,1,1,0,0
3,0,29,0,455,46,298,17,1,0,0,1,2522,0
3,0,30,0,883,52,0,28,0,0,0,0,1118,0
0,0,30,0,438,44,0,26,0,0,0,0,507,0
4,0,30,0,806,68,14,21,1,0,0,1,1154,0
0,0,30,0,428,25,251,11,2,0,0,2,2324,0
6,0,29,1,1406,107,124,36,2,0,0,2,2040,0
0,0,30,0,1584,155,0,37,2,0,0,2,1751,0
0,0,30,0,938,69,0,18,2,0,0,2,863,0
0,0,30,0,1090,81,0,5,1,0,0,1,1318,0
2,0,30,0,396,40,0,10,2,0,1,2,302,0
18,0,30,2,1631,200,36,25,2,0,0,2,1889,0
0,0,30,0,626,13,366,1,2,0,0,2,2586,0
2,0,29,0,1648,168,129,23,1,0,0,1,2368,0
0,0,29,0,1146,72,165,19,2,0,0,2,2127,0
0,0,29,0,0,0,0,0,1,0,1,1,0,0
0,0,30,0,0,0,0,0,1,0,1,1,0,0
0,0,29,0,0,0,0,0,1,0,1,1,0,1
0,0,29,0,1307,113,320,36,1,0,0,1,2588,0
0,0,29,0,1533,140,0,40,2,0,0,2,1713,0
1,0,29,0,1181,61,90,30,1,0,0,1,1829,0
16,0,25,0,70,33,0,10,1,0,1,1,71,1
14,0,28,7,1491,79,0,35,3,0,0,3,1327,0
6,1,28,0,1081,84,8,17,1,0,0,1,1443,1
0,0,26,0,553,8,0,7,2,0,0,2,423,0
2,1,27,0,593,27,0,9,1,0,1,1,551,1
2,0,28,0,404,30,16,24,2,0,1,2,691,1
0,0,28,0,0,0,0,0,2,0,1,2,0,1
0,0,28,0,0,0,0,0,2,0,0,2,0,0
0,0,25,0,1192,83,0,15,3,0,0,3,841,0
0,0,28,0,0,0,0,0,3,0,1,3,0,1
0,0,28,0,0,0,0,0,4,0,0,4,0,0
18,0,23,2,1693,212,0,73,1,0,0,1,1850,0
0,0,26,2,1222,102,239,26,1,1,0,1,2439,0
0,0,28,0,791,68,0,21,1,0,0,1,759,0
0,0,27,0,244,30,20,13,2,0,1,2,649,0
0,0,28,0,539,39,154,16,1,0,0,1,1974,0
0,0,19,0,160,22,172,4,1,1,0,1,1995,0
0,0,18,0,223,25,12,61,3,0,0,3,225,0
4,0,19,0,23,11,0,3,1,0,1,1,21,0
0,0,18,0,0,0,3,0,3,0,1,3,10,0
3,0,17,0,137,18,1,6,1,0,0,1,137,0
0,0,17,0,668,47,0,16,2,0,0,2,535,0
0,0,10,0,254,12,10,7,1,0,0,1,458,0
9,0,9,0,1133,127,67,35,0,1,0,0,1839,0
5,0,7,0,1395,157,55,33,3,0,0,3,1610,0
1,0,8,2,557,31,13,12,2,0,0,2,757,0
0,0,1,0,915,26,194,3,2,0,0,2,2168,0
0,0,1,0,203,5,0,4,1,0,0,1,163,1
7,0,33,1,1029,75,19,30,1,0,0,1,1495,0
0,0,34,0,104,9,21,17,1,0,1,1,609,0
9,0,32,1,670,64,327,37,1,0,0,1,2550,0
9,0,33,1,1008,70,15,48,0,0,0,0,1579,0
2,0,33,1,650,62,16,46,0,0,0,0,1276,0
10,0,33,2,941,86,46,41,2,0,0,2,1606,0
3,0,33,1,638,43,281,31,2,0,0,2,2381,0
12,0,32,3,1468,125,155,56,2,0,0,2,2240,0
6,0,33,1,1612,173,14,57,2,0,0,2,1799,0
6,0,33,2,1048,87,16,38,2,0,0,2,1371,0
5,0,33,1,1178,99,21,25,1,0,0,1,1648,0
8,0,33,0,601,58,22,30,2,0,1,2,1043,0
24,0,33,4,1680,217,68,45,2,1,0,2,2100,0
3,0,33,2,827,31,394,21,2,0,0,2,2646,0
8,0,32,1,1709,186,161,43,1,0,0,1,2452,0
2,0,32,2,1273,90,197,39,2,0,0,2,2290,0
0,0,32,0,242,18,14,24,1,0,1,1,564,0
1,0,33,0,204,18,27,21,1,0,1,1,893,0
0,1,32,0,35,4,14,13,1,0,1,1,331,1
2,0,32,1,1372,131,349,56,1,0,0,1,2650,0
6,0,32,2,1565,158,25,60,2,0,0,2,1774,0
7,0,32,2,1306,79,120,50,1,0,0,1,2062,0
22,0,28,0,265,51,30,30,1,0,1,1,1051,1
20,0,31,9,1521,97,15,55,3,0,0,3,1521,0
12,0,31,2,1160,102,40,37,1,0,0,1,1723,0
0,0,29,1,766,26,14,27,2,0,0,2,985,0
8,0,30,0,805,45,23,29,1,0,1,1,1342,1
8,1,31,0,611,48,48,44,2,0,1,2,1494,1
0,0,31,0,61,6,14,15,2,0,1,2,313,1
0,0,31,1,454,29,14,19,2,0,0,2,686,0
2,0,28,2,1312,101,28,35,3,0,0,3,1323,0
0,0,31,0,181,11,23,17,3,0,1,3,355,1
0,0,31,2,112,8,18,15,4,0,0,4,125,0
24,0,26,4,1741,230,14,89,1,0,0,1,1972,0
5,0,29,4,1333,120,269,46,1,1,0,1,2518,0
1,0,31,1,933,86,16,41,1,0,0,1,1357,0
2,1,30,0,453,48,52,33,2,0,1,2,1476,1
5,0,31,1,754,57,186,36,1,0,0,1,2218,0
3,0,22,2,359,40,204,24,1,1,0,1,2231,0
3,0,21,1,425,43,44,81,3,0,0,3,827,0
10,0,22,0,201,29,24,20,1,0,1,1,798,0
0,0,21,0,233,14,35,16,3,0,1,3,563,0
9,0,20,1,334,36,33,26,1,0,0,1,1177,0
1,0,20,1,854,65,22,36,2,0,0,2,1242,0
1,0,13,1,462,30,42,27,1,0,0,1,1445,0
15,0,12,2,1256,145,99,55,0,1,0,0,2134,0
11,0,10,1,1454,175,87,53,3,0,0,3,1720,0
7,0,11,4,770,49,45,32,2,0,0,2,1520,0
1,0,4,2,1033,44,225,23,2,0,0,2,2308,0
2,1,4,2,404,23,14,20,2,0,0,2,647,1
0,0,33,0,842,55,0,10,1,0,0,1,833,0
0,0,34,0,0,0,0,0,1,0,1,1,0,0
1,0,32,0,342,44,294,7,1,0,0,1,2499,0
1,0,33,0,807,50,0,18,0,0,0,0,999,0
0,0,33,0,329,42,0,16,0,0,0,0,373,0
2,0,33,0,705,66,4,11,1,0,0,1,767,0
0,0,33,0,323,23,243,1,2,0,0,2,2298,0
4,0,32,0,1387,105,115,26,2,0,0,2,1959,0
0,0,33,0,1579,153,0,27,2,0,0,2,1745,0
0,0,33,0,868,67,0,8,2,0,0,2,748,0
0,0,33,0,1066,79,0,13,1,0,0,1,1232,0
0,0,33,0,290,38,0,4,2,0,1,2,214,0
16,0,33,0,1619,199,26,15,2,0,0,2,1826,0
0,0,33,0,510,11,362,5,2,0,0,2,2567,0
0,0,32,0,1629,166,120,13,1,0,0,1,2346,0
0,0,32,0,1103,70,155,9,2,0,0,2,2048,0
0,0,32,0,0,0,0,0,1,0,1,1,0,0
0,0,33,0,0,0,0,0,1,0,1,1,0,0
0,0,32,0,0,0,0,0,1,0,1,1,0,1
0,0,32,0,1243,111,311,26,1,0,0,1,2565,0
0,0,32,0,1515,138,0,30,2,0,0,2,1697,0
0,0,32,0,1121,59,80,20,1,0,0,1,1798,0
7,0,28,0,4,2,0,1,1,0,1,1,1,1
12,0,31,5,1476,77,0,25,3,0,0,3,1282,0
4,0,31,0,1058,82,0,7,1,0,0,1,1214,1
0,0,29,0,446,6,0,2,2,0,0,2,335,0
0,0,30,0,487,25,0,9,1,0,1,1,429,1
0,1,31,0,298,28,6,14,2,0,1,2,345,1
0,0,31,0,0,0,0,0,1,0,1,1,0,1
0,0,31,0,0,0,0,0,2,0,0,2,0,0
0,0,28,0,1129,81,0,5,3,0,0,3,760,0
0,1,31,0,0,0,0,0,3,0,1,3,0,1
0,0,31,0,0,0,0,0,3,0,0,3,0,0
16,0,26,0,1658,210,0,63,1,0,0,1,1832,0
0,0,29,0,1150,100,234,16,1,1,0,1,2409,0
0,0,31,0,688,66,0,11,1,0,0,1,653,0
0,0,30,0,143,28,10,3,2,0,1,2,299,0
0,0,31,0,428,37,144,6,1,0,0,1,1903,0
0,0,22,0,437,20,162,8,1,1,0,1,2002,0
0,0,21,0,120,23,2,51,3,0,0,3,67,0
0,0,22,0,0,0,0,0,1,0,1,1,0,0
0,0,21,0,0,0,0,0,3,0,1,3,0,0
0,0,20,0,0,0,0,0,1,0,0,1,0,0
0,0,20,0,545,45,0,6,2,0,0,2,425,0
0,0,13,0,0,0,0,0,1,0,0,1,0,0
7,0,12,0,1093,125,57,25,0,1,0,0,1797,0
3,0,10,0,1383,155,45,23,3,0,0,3,1547,0
0,0,11,0,449,29,3,2,2,0,0,2,406,0
0,0,4,0,848,24,184,21,2,0,0,2,2088,0
0,0,4,0,0,0,0,0,1,0,0,1,0,1
3,0,34,0,961,71,30,19,2,0,0,2,1481,0
0,0,35,0,13,5,32,6,2,0,1,2,674,0
5,0,33,0,529,60,337,26,2,0,0,2,2524,0
5,0,34,0,932,66,26,37,0,0,0,0,1632,0
0,0,34,0,513,58,27,35,1,0,0,1,1202,0
6,0,34,1,862,82,57,30,2,0,0,2,1643,0
0,0,34,0,506,39,288,20,2,0,0,2,2389,0
8,0,33,2,1429,121,166,45,2,0,0,2,2264,0
2,0,34,0,1594,169,25,46,2,0,0,2,1811,0
2,0,34,1,986,83,27,27,2,0,0,2,1466,0
1,0,34,0,1113,95,32,14,2,0,0,2,1622,0
4,0,34,0,474,54,33,19,2,0,1,2,1167,0
20,0,34,3,1645,213,79,34,2,0,0,2,2137,0
0,0,34,1,714,27,401,10,2,0,0,2,2652,0
4,0,33,0,1669,182,172,32,1,0,0,1,2464,0
0,0,33,1,1194,86,208,28,2,0,0,2,2305,0
0,0,33,0,124,14,25,13,1,0,1,1,725,0
0,0,34,0,83,14,38,10,2,0,1,2,931,0
0,0,33,0,0,0,25,0,1,0,1,1,542,1
0,0,33,0,1339,127,356,45,2,0,0,2,2577,0
2,0,33,1,1546,154,36,49,3,0,0,3,1645,0
3,0,33,1,1231,75,130,39,1,0,0,1,2097,0
18,0,29,0,144,47,41,19,2,0,1,2,1072,1
16,0,32,8,1502,93,26,44,4,1,0,4,1056,0
8,1,32,1,1106,98,51,26,1,0,0,1,1734,1
0,0,30,0,636,22,25,16,2,0,0,2,1116,0
4,1,31,0,683,41,34,18,2,0,1,2,1324,1
4,0,32,0,485,44,59,33,2,0,1,2,1550,1
0,0,32,0,0,0,25,0,2,0,1,2,459,1
0,0,32,0,326,25,25,8,3,0,0,3,460,0
0,0,29,1,1241,97,39,24,4,0,0,4,836,0
0,0,32,0,63,7,34,6,3,0,1,3,437,1
0,0,32,1,15,4,29,4,4,0,0,4,170,0
20,0,27,3,1715,226,25,82,1,0,0,1,2019,0
1,0,30,3,1270,116,279,35,1,1,0,1,2528,0
0,0,32,0,855,82,27,30,2,0,0,2,1336,0
0,0,31,0,325,44,63,22,2,0,1,2,1539,0
1,0,32,0,619,53,197,25,1,0,0,1,2247,0
0,0,23,1,235,36,215,13,1,1,0,1,2257,0
0,0,22,0,303,39,55,70,3,0,0,3,928,0
6,0,23,0,79,25,35,9,2,0,1,2,852,0
0,0,22,0,113,10,46,5,3,0,1,3,661,0
5,0,21,0,211,32,44,15,1,0,0,1,1307,0
0,0,21,0,745,61,33,25,2,0,0,2,1353,0
0,0,14,0,331,26,53,16,1,0,0,1,1519,0
11,0,13,1,1176,141,110,44,1,1,0,1,1939,0
7,0,11,0,1415,171,98,42,4,0,0,4,1451,0
3,0,12,3,642,45,56,21,2,0,0,2,1577,0
0,0,5,1,965,40,233,12,2,0,0,2,2320,0
0,1,5,1,280,19,25,9,2,0,0,2,786,1
3,0,32,0,921,59,0,11,1,0,0,1,974,0
0,0,33,0,0,0,0,0,1,0,1,1,0,0
5,0,31,0,472,48,291,18,1,0,0,1,2485,0
5,0,32,0,893,54,0,29,0,0,0,0,1137,0
0,0,32,0,457,46,0,27,0,0,0,0,528,0
6,0,32,0,822,70,0,22,1,0,0,1,799,0
0,0,32,0,447,27,235,12,2,0,0,2,2283,0
8,0,31,0,1410,109,105,37,2,0,0,2,1928,0
2,0,32,0,1585,157,0,38,2,0,0,2,1752,0
2,0,32,0,947,71,0,19,2,0,0,2,883,0
1,0,32,0,1094,83,0,6,1,0,0,1,1330,0
4,0,32,0,412,42,0,11,2,0,1,2,317,0
20,0,32,1,1633,201,15,26,1,0,0,1,1891,0
0,0,32,0,645,15,360,2,2,0,0,2,2561,0
4,0,31,0,1652,170,111,24,1,0,0,1,2337,0
0,0,31,0,1154,74,144,20,2,0,0,2,2010,0
0,0,31,0,67,2,0,5,1,0,1,1,63,0
0,0,32,0,33,2,0,2,1,0,1,1,35,0
0,0,31,0,0,0,0,0,1,0,1,1,0,1
0,0,31,0,1314,115,302,37,1,0,0,1,2558,0
2,0,31,0,1536,142,0,41,2,0,0,2,1714,0
3,0,31,0,1191,63,69,31,1,0,0,1,1787,0
18,0,27,0,86,35,0,11,1,0,1,1,81,1
16,0,30,6,1492,81,0,36,3,0,0,3,1336,0
8,0,30,0,1085,86,0,18,1,0,0,1,1311,1
0,0,28,0,570,10,0,8,2,0,0,2,445,0
4,1,29,0,613,29,0,10,1,0,1,1,570,1
4,0,30,0,420,32,0,25,2,0,1,2,321,1
0,0,30,0,0,0,0,0,1,0,1,1,0,1
0,0,30,0,264,13,0,3,2,0,0,2,192,0
0,0,27,0,1202,85,0,16,3,0,0,3,851,0
0,0,30,0,0,0,0,0,2,0,1,2,0,1
0,0,30,0,0,0,0,0,3,0,0,3,0,0
20,0,25,1,1698,214,0,74,1,0,0,1,1854,0
1,0,28,1,1234,104,228,27,1,1,0,1,2395,0
0,0,30,0,809,70,0,22,1,0,0,1,777,0
0,0,29,0,263,32,0,14,2,0,1,2,194,0
1,0,30,0,555,41,133,17,1,0,0,1,1860,0
0,0,21,0,174,24,151,5,1,1,0,1,1883,0
0,0,20,0,239,27,0,62,3,0,0,3,102,0
6,0,21,0,32,13,0,1,1,0,1,1,36,0
0,0,20,0,0,0,0,0,3,0,1,3,0,0
5,0,19,0,152,20,0,7,0,0,0,0,164,0
0,0,19,0,685,49,0,17,2,0,0,2,553,0
0,0,12,0,273,14,0,8,1,0,0,1,229,0
11,0,11,0,1140,129,46,36,0,1,0,0,1780,0
7,0,9,0,1396,159,34,34,3,0,0,3,1505,0
3,0,10,1,573,33,0,13,2,0,0,2,451,0
0,0,3,0,926,28,173,4,1,0,0,1,2197,0
0,1,3,0,217,7,0,1,1,0,0,1,180,1
5,0,33,0,973,66,7,18,1,0,0,1,1219,0
0,0,34,0,0,0,9,0,1,0,1,1,146,0
7,0,32,0,549,55,316,25,1,0,0,1,2544,0
7,0,33,0,945,61,3,36,0,0,0,0,1301,0
0,0,33,0,534,53,4,34,0,0,0,0,768,0
8,0,33,0,875,77,34,29,1,0,0,1,1551,0
1,0,33,0,526,34,271,19,2,0,0,2,2357,0
10,0,32,1,1436,116,143,44,2,0,0,2,2171,0
4,0,33,0,1597,164,2,45,2,0,0,2,1769,0
4,0,33,0,996,78,4,26,2,0,0,2,1064,0
3,0,33,0,1120,90,9,13,1,0,0,1,1514,0
6,1,33,0,493,49,10,18,2,0,1,2,639,0
22,0,33,2,1650,208,56,33,2,0,0,2,2009,0
1,0,33,0,733,22,384,9,2,0,0,2,2626,0
6,0,32,0,1675,177,149,31,1,0,0,1,2416,0
0,0,32,0,1206,81,185,27,2,0,0,2,2239,0
0,0,32,0,143,9,2,12,1,0,1,1,156,0
0,0,33,0,100,9,15,9,1,0,1,1,427,0
0,0,32,0,0,0,2,0,1,0,1,1,15,1
0,0,32,0,1346,122,339,44,1,0,0,1,2632,0
4,0,32,0,1549,149,13,48,2,0,0,2,1740,0
