Area,MajorAxisLength,MinorAxisLength,Eccentricity,ConvexArea,Extent,Perimeter,Class
438,600,269,785,466,149,569,0
866,876,837,808,861,869,858,0
676,700,590,704,670,399,661,0
313,272,461,162,316,457,306,0
628,579,669,408,628,333,616,0
652,616,674,473,636,878,596,0
561,695,275,851,546,609,595,0
739,770,639,793,737,213,765,0
757,719,797,430,754,360,745,0
827,840,806,752,822,773,825,0
493,624,278,806,509,89,603,0
895,773,899,13,892,647,893,0
818,817,802,729,810,112,813,0
705,662,707,481,701,318,680,0
855,820,864,503,845,851,828,0
710,688,690,563,704,651,684,0
169,230,123,506,164,97,169,0
803,735,849,301,792,850,755,0
605,674,424,780,601,409,639,0
335,275,499,137,343,403,336,0
456,587,360,726,457,21,523,0
530,620,374,757,565,277,590,0
692,605,729,316,673,816,598,0
816,849,762,816,811,32,831,0
875,865,865,644,865,502,859,0
723,703,711,566,719,66,724,0
504,512,449,542,492,215,461,0
549,546,540,508,549,99,577,0
640,517,739,174,650,722,656,0
600,633,506,683,600,177,622,0
529,706,200,877,532,82,643,0
