name,zone,area,population,language,religion,bars,stripes,colours,red,green,blue,gold,white,black,orange,mainhue,circles,Column1,saltries,quarters,sunstars,crescent,triangle,icon,animate,text,topleft,botright,target
50,2,71,8,1,0,0,3,2,1,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,6,1
60,3,36,0,2,0,3,0,2,1,0,1,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,1,6,1
50,2,71,8,1,0,0,3,2,1,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,6,1
23,2,131,42,5,0,0,0,3,0,1,1,1,1,0,0,4,1,0,0,0,12,0,0,0,0,1,3,4,1
163,3,30,0,5,1,0,5,3,1,1,0,1,1,0,0,6,0,0,0,0,1,0,0,0,0,0,3,4,1
60,3,36,0,2,0,3,0,2,1,0,1,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,1,6,1
9,2,128,22,1,0,0,3,2,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1
173,3,5,1,0,1,0,0,2,1,0,0,0,1,1,0,6,0,0,0,0,0,0,1,0,0,0,6,7,1
50,2,71,8,1,0,0,3,2,1,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,6,1
135,2,83,3,1,0,0,3,5,1,1,1,1,1,1,0,6,1,0,0,0,1,0,0,1,1,1,5,1,1
56,2,10,0,0,1,0,0,5,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,6,1,1
173,3,5,1,0,1,0,0,2,1,0,0,0,1,1,0,6,0,0,0,0,0,0,1,0,0,0,6,7,1
21,2,110,6,1,0,0,3,2,1,1,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,4,1
163,3,30,0,5,1,0,5,3,1,1,0,1,1,0,0,6,0,0,0,0,1,0,0,0,0,0,3,4,1
187,3,105,15,1,0,0,3,6,1,1,1,1,1,1,1,6,0,0,0,0,7,0,0,1,1,0,2,6,1
23,2,131,42,5,0,0,0,3,0,1,1,1,1,0,0,4,1,0,0,0,12,0,0,0,0,1,3,4,1
56,2,10,0,0,1,0,0,5,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,6,1,1
23,2,131,42,5,0,0,0,3,0,1,1,1,1,0,0,4,1,0,0,0,12,0,0,0,0,1,3,4,1
9,2,128,22,1,0,0,3,2,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1
38,3,111,22,1,0,0,3,2,1,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,6,1
16,0,22,10,5,0,3,0,2,1,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,6,2
144,0,0,0,5,0,0,2,1,0,0,1,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,6,1,2
85,3,32,3,0,0,3,0,2,0,1,0,0,1,0,1,7,0,0,0,0,0,0,0,0,0,0,3,5,2
138,0,75,26,4,6,0,2,1,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,6,6,2
186,0,0,0,5,0,2,0,3,1,0,0,1,1,1,0,3,0,0,0,0,0,0,0,1,0,0,2,7,2
58,0,79,5,8,1,0,0,1,0,0,1,0,1,0,0,7,0,1,0,0,0,0,0,0,0,0,6,7,2
67,3,0,0,0,1,0,1,2,1,0,0,1,1,0,0,7,0,0,0,0,0,0,0,1,0,0,6,6,2
165,0,86,8,5,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,2
68,0,51,10,5,1,0,8,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,2
46,0,25,5,5,1,0,0,1,1,0,0,0,1,0,0,6,0,1,0,0,0,0,0,0,0,0,5,6,2
67,3,0,0,0,1,0,1,2,1,0,0,1,1,0,0,7,0,0,0,0,0,0,0,1,0,0,6,6,2
114,0,0,0,2,0,0,2,1,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,5,7,2
102,0,3,0,3,0,0,3,2,1,0,1,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,5,1,2
79,0,38,11,8,6,0,3,2,1,1,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,5,4,2
85,3,32,3,0,0,3,0,2,0,1,0,0,1,0,1,7,0,0,0,0,0,0,0,0,0,0,3,5,2
121,0,24,14,5,1,0,3,2,1,0,1,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,5,1,2
138,0,75,26,4,6,0,2,1,1,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,6,6,2
131,0,60,1,7,2,0,2,2,1,1,0,0,1,0,0,6,0,0,0,0,0,0,0,1,0,0,5,4,4
150,0,1,3,6,3,0,2,1,1,0,0,0,1,0,0,7,0,0,0,0,5,1,0,0,0,0,5,7,4
92,0,56,6,9,3,0,0,1,1,0,0,1,0,0,0,6,0,0,0,0,0,0,0,1,0,0,5,6,4
0,0,97,16,9,2,0,3,4,1,1,0,1,1,1,0,4,0,0,0,0,1,0,0,1,0,0,0,4,4
131,0,60,1,7,2,0,2,2,1,1,0,0,1,0,0,6,0,0,0,0,0,0,0,1,0,0,5,4,4
37,0,133,47,6,6,0,0,1,1,0,0,1,0,0,0,6,0,0,0,0,5,0,0,0,0,0,5,6,4
81,0,129,46,5,4,0,3,3,0,1,1,0,1,0,1,5,1,0,0,0,0,0,0,1,0,0,4,4,4
129,0,58,9,7,2,0,3,3,1,1,0,0,1,1,0,6,0,0,0,0,1,0,0,0,0,0,5,0,4
0,0,97,16,9,2,0,3,4,1,1,0,1,1,1,0,4,0,0,0,0,1,0,0,1,0,0,0,4,4
78,0,1,5,6,3,0,0,5,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,6,1,4
129,0,58,9,7,2,0,3,3,1,1,0,0,1,1,0,6,0,0,0,0,1,0,0,0,0,0,5,0,4
84,0,84,14,7,2,0,3,3,1,1,0,0,1,1,0,6,0,0,0,0,3,0,0,0,0,0,5,0,4
96,0,62,3,9,6,0,3,2,1,0,1,0,1,0,0,6,1,0,0,0,0,0,0,0,0,0,5,6,4
94,0,0,0,0,1,0,0,3,1,0,1,1,1,0,0,6,0,0,0,0,1,0,0,1,1,0,5,1,5
41,2,0,0,0,1,0,0,3,1,0,1,0,1,0,0,1,1,1,1,1,11,0,0,0,0,0,6,1,5
41,2,0,0,0,1,0,0,3,1,0,1,0,1,0,0,1,1,1,1,1,11,0,0,0,0,0,6,1,5
3,2,0,0,0,1,0,0,4,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,1,6,5
61,2,4,0,2,0,0,3,4,1,0,1,1,1,1,0,6,1,0,0,0,1,0,0,1,0,0,5,6,5
113,0,1,0,9,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,4,0,0,0,0,0,1,1,5
82,1,122,43,9,2,0,2,1,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,5,7,5
109,0,0,0,9,1,0,0,2,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,5
82,1,122,43,9,2,0,2,1,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,5,7,5
109,0,0,0,9,1,0,0,2,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,5
94,0,0,0,0,1,0,0,3,1,0,1,1,1,0,0,6,0,0,0,0,1,0,0,1,1,0,5,1,5
123,1,69,2,0,1,0,0,2,1,0,1,0,1,0,0,1,0,1,1,1,4,0,0,0,0,0,6,1,5
10,1,130,15,0,1,0,0,2,1,0,1,0,1,0,0,1,0,1,1,1,6,0,0,0,0,0,6,1,5
3,2,0,0,0,1,0,0,4,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,1,6,5
151,1,21,0,0,1,0,0,3,0,1,1,1,1,0,0,4,0,0,0,0,5,0,1,0,0,0,1,4,5
61,2,4,0,2,0,0,3,4,1,0,1,1,1,1,0,6,1,0,0,0,1,0,0,1,0,0,5,6,5
41,2,0,0,0,1,0,0,3,1,0,1,0,1,0,0,1,1,1,1,1,11,0,0,0,0,0,6,1,5
123,1,69,2,0,1,0,0,2,1,0,1,0,1,0,0,1,0,1,1,1,4,0,0,0,0,0,6,1,5
94,0,0,0,0,1,0,0,3,1,0,1,1,1,0,0,6,0,0,0,0,1,0,0,1,1,0,5,1,5
41,2,0,0,0,1,0,0,3,1,0,1,0,1,0,0,1,1,1,1,1,11,0,0,0,0,0,6,1,5
3,2,0,0,0,1,0,0,4,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,1,6,5
41,2,0,0,0,1,0,0,3,1,0,1,0,1,0,0,1,1,1,1,1,11,0,0,0,0,0,6,1,5
61,2,4,0,2,0,0,3,4,1,0,1,1,1,1,0,6,1,0,0,0,1,0,0,1,0,0,5,6,5
137,0,73,31,9,0,0,0,3,1,0,1,1,1,0,0,1,0,0,0,0,4,0,1,0,0,0,1,6,5
134,1,87,3,0,5,0,0,3,1,0,0,1,1,1,0,0,0,0,0,0,5,0,1,0,1,0,5,0,5
41,2,0,0,0,1,0,0,3,1,0,1,0,1,0,0,1,1,1,1,1,11,0,0,0,0,0,6,1,5
3,2,0,0,0,1,0,0,4,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,1,6,5
61,2,4,0,2,0,0,3,4,1,0,1,1,1,1,0,6,1,0,0,0,1,0,0,1,0,0,5,6,5
134,1,87,3,0,5,0,0,3,1,0,0,1,1,1,0,0,0,0,0,0,5,0,1,0,1,0,5,0,5
82,1,122,43,9,2,0,2,1,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,5,7,5
109,0,0,0,9,1,0,0,2,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,5
137,0,73,31,9,0,0,0,3,1,0,1,1,1,0,0,1,0,0,0,0,4,0,1,0,0,0,1,6,5
