Reason for absence,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Son,Social drinker,Social smoker,Pet,Weight,Height,Body mass index,Absenteeism time in hours
27,12,4,3,13,22,8,8,3,5,0,0,4,1,0,0,3,3,3,4
4,12,3,3,11,11,13,13,3,5,0,0,0,1,0,0,4,5,3,7
27,12,3,3,3,23,15,10,3,5,0,0,0,1,0,0,18,5,10,1
27,12,4,3,3,23,15,10,3,5,0,0,0,1,0,0,18,5,10,1
22,12,1,3,3,12,6,3,3,5,0,2,0,0,0,0,0,6,0,1
24,12,1,3,0,1,7,9,3,5,0,0,0,0,0,0,14,7,7,7
24,12,3,3,10,2,11,9,3,5,0,2,1,0,0,1,17,7,8,2
27,12,4,3,3,23,15,10,3,5,0,0,0,1,0,0,18,5,10,1
13,12,1,1,10,9,10,14,3,5,0,0,1,1,0,0,24,2,16,7
14,12,1,1,10,2,11,9,3,5,0,2,1,0,0,1,17,7,8,4
25,12,2,1,13,22,8,8,3,5,0,0,4,1,0,0,3,3,3,7
27,12,0,1,2,13,3,2,3,5,0,0,0,1,1,0,9,12,2,2
27,12,0,1,3,23,15,10,3,5,0,0,0,1,0,0,18,5,10,3
19,12,0,1,16,17,10,6,3,5,0,0,2,1,0,1,19,7,9,7
22,1,2,1,6,12,6,1,34,12,0,0,1,0,0,2,6,4,4,5
19,1,0,1,0,1,7,9,34,12,0,0,0,0,0,0,14,7,7,10
22,1,0,1,1,3,11,7,34,12,0,0,2,1,0,0,21,13,5,2
13,1,1,1,10,2,11,9,34,12,0,2,1,0,0,1,17,7,8,1
22,1,1,1,1,3,11,7,34,12,0,0,2,1,0,0,21,13,5,4
25,1,0,1,16,17,10,6,34,12,0,0,2,1,0,1,19,7,9,7
3,1,2,1,17,15,9,12,34,12,0,0,1,1,0,1,8,6,5,7
25,1,0,1,10,9,10,14,34,12,0,0,1,1,0,0,24,2,16,7
25,1,0,1,0,4,15,19,34,12,0,0,1,1,0,0,22,10,10,4
27,1,2,1,3,23,15,10,34,12,0,0,0,1,0,0,18,5,10,1
27,1,4,1,3,23,15,10,34,12,0,0,0,1,0,0,18,5,10,1
27,2,1,1,0,1,7,9,12,8,0,0,0,0,0,0,14,7,7,2
26,2,2,1,3,23,15,10,12,8,0,0,0,1,0,0,18,5,10,3
7,2,2,1,6,12,6,1,12,8,0,0,1,0,0,2,6,4,4,1
21,2,4,1,16,17,10,6,12,8,0,0,2,1,0,1,19,7,9,3
27,2,4,1,13,22,8,8,12,8,0,0,4,1,0,0,3,3,3,3
22,2,4,1,3,23,15,10,12,8,0,0,0,1,0,0,18,5,10,3
26,2,0,1,3,23,15,10,12,8,0,0,0,1,0,0,18,5,10,2
26,2,2,1,3,23,15,10,12,8,0,0,0,1,0,0,18,5,10,3
10,2,3,1,3,23,15,10,12,8,0,0,0,1,0,0,18,5,10,7
25,2,3,1,11,11,13,13,12,8,0,0,0,1,0,0,4,5,3,7
26,2,4,1,3,23,15,10,12,8,0,0,0,1,0,0,18,5,10,3
21,2,0,1,5,14,10,6,12,8,0,0,2,0,0,2,6,2,5,7
26,2,0,1,3,23,15,10,12,8,0,0,0,1,0,0,18,5,10,3
22,2,1,1,11,11,13,13,12,8,0,0,0,1,0,0,4,5,3,2
22,2,1,1,17,15,9,12,12,8,0,0,1,1,0,1,8,6,5,2
11,2,2,1,2,13,3,2,12,8,0,0,0,1,1,0,9,12,2,8
26,2,2,1,3,23,15,10,12,8,0,0,0,1,0,0,18,5,10,3
26,2,4,1,3,23,15,10,12,8,0,0,0,1,0,0,18,5,10,3
10,2,4,1,11,11,13,13,12,8,0,0,0,1,0,0,4,5,3,9
26,2,2,1,3,23,15,10,12,8,0,0,0,1,0,0,18,5,10,3
26,2,4,1,3,23,15,10,12,8,0,0,0,1,0,0,18,5,10,3
18,3,1,1,0,1,7,9,8,10,0,0,0,0,0,0,14,7,7,7
19,3,2,1,11,11,13,13,8,10,0,0,0,1,0,0,4,5,3,8
27,3,4,1,11,11,13,13,8,10,0,0,0,1,0,0,4,5,3,2
27,3,4,1,13,22,8,8,8,10,0,0,4,1,0,0,3,3,3,4
27,3,0,1,3,23,15,10,8,10,0,0,0,1,0,0,18,5,10,2
21,3,0,1,10,2,11,9,8,10,0,2,1,0,0,1,17,7,8,7
21,3,1,1,3,10,14,12,8,10,0,1,2,0,1,0,2,5,2,7
21,3,1,1,22,21,8,8,8,10,0,0,2,0,1,3,3,8,1,7
27,3,0,1,3,23,15,10,8,10,0,0,0,1,0,0,18,5,10,8
21,3,2,1,20,24,1,1,8,10,0,0,1,1,0,3,13,7,6,7
0,3,2,1,21,8,9,4,8,10,1,0,3,1,0,0,7,4,5,0
20,3,3,1,10,2,11,9,8,10,0,2,1,0,0,1,17,7,8,7
22,3,4,2,0,4,15,19,8,10,0,0,1,1,0,0,22,10,10,2
14,3,1,2,0,4,15,19,8,10,0,0,1,1,0,0,22,10,10,3
13,3,2,2,0,4,15,19,8,10,0,0,1,1,0,0,22,10,10,7
0,3,3,2,10,2,11,9,8,10,1,2,1,0,0,1,17,7,8,0
0,3,3,2,11,11,13,13,8,10,1,0,0,1,0,0,4,5,3,0
0,3,3,2,0,4,15,19,8,10,1,0,1,1,0,0,22,10,10,0
27,3,4,2,3,23,15,10,8,10,0,0,0,1,0,0,18,5,10,7
21,3,4,2,16,17,10,6,8,10,0,0,2,1,0,1,19,7,9,7
19,3,0,2,13,22,8,8,8,10,0,0,4,1,0,0,3,3,3,7
27,3,1,2,11,11,13,13,8,10,0,0,0,1,0,0,4,5,3,2
27,4,2,2,3,23,15,10,5,10,0,0,0,1,0,0,18,5,10,4
27,4,4,2,13,22,8,8,5,10,0,0,4,1,0,0,3,3,3,3
25,4,4,2,19,7,2,1,5,10,0,1,0,0,0,0,15,11,5,4
21,4,0,2,21,8,9,4,5,10,0,0,3,1,0,0,7,4,5,4
25,4,0,2,12,11,11,16,5,10,0,0,2,0,0,1,16,1,11,4
22,4,2,2,19,7,2,1,5,10,0,1,0,0,0,0,15,11,5,7
27,4,2,2,3,23,15,10,5,10,0,0,0,1,0,0,18,5,10,7
22,4,0,2,0,4,15,19,5,10,0,0,1,1,0,0,22,10,10,1
13,4,2,2,0,4,15,19,5,10,0,0,1,1,0,0,22,10,10,18
27,4,4,2,18,12,10,14,5,10,0,0,2,1,1,1,11,9,5,7
27,4,4,2,13,22,8,8,5,10,0,0,4,1,0,0,3,3,3,4
27,4,0,2,3,23,15,10,5,10,0,0,0,1,0,0,18,5,10,4
11,4,2,2,0,1,7,9,5,10,0,0,0,0,0,0,14,7,7,2
13,5,0,2,10,9,10,14,9,11,0,0,1,1,0,0,24,2,16,8
22,5,2,2,12,11,11,16,9,11,0,0,2,0,0,1,16,1,11,2
10,5,0,2,21,8,9,4,9,11,0,0,3,1,0,0,7,4,5,7
22,5,2,2,3,12,6,3,9,11,0,2,0,0,0,0,0,6,0,3
27,5,2,2,3,23,15,10,9,11,0,0,0,1,0,0,18,5,10,4
22,5,3,2,20,24,1,1,9,11,0,0,1,1,0,3,13,7,6,1
27,5,4,2,13,22,8,8,9,11,0,0,4,1,0,0,3,3,3,3
11,5,0,2,3,10,14,12,9,11,0,1,2,0,1,0,2,5,2,2
8,5,0,2,3,10,14,12,9,11,0,1,2,0,1,0,2,5,2,3
18,5,2,2,7,5,13,21,9,11,0,0,2,0,0,1,3,7,2,7
24,5,2,2,6,12,6,1,9,11,0,0,1,0,0,2,6,4,4,3
13,5,4,2,19,7,2,1,9,11,0,1,0,0,0,0,15,11,5,7
24,5,0,2,3,12,6,3,9,11,0,2,0,0,0,0,0,6,0,2
27,5,0,2,0,1,7,9,9,11,0,0,0,0,0,0,14,7,7,1
1,5,0,2,10,2,11,9,9,11,0,2,1,0,0,1,17,7,8,7
22,5,2,2,3,12,6,3,9,11,0,2,0,0,0,0,0,6,0,3
22,6,0,2,0,1,7,9,14,7,0,0,0,0,0,0,14,7,7,3
27,6,0,2,3,23,15,10,14,7,0,0,0,1,0,0,18,5,10,3
27,6,1,2,0,1,7,9,14,7,0,0,0,0,0,0,14,7,7,2
22,6,3,2,6,12,6,1,14,7,0,0,1,0,0,2,6,4,4,4
27,6,4,2,13,22,8,8,14,7,0,0,4,1,0,0,3,3,3,4
0,6,4,2,3,23,15,10,14,7,1,0,0,1,0,0,18,5,10,0
13,6,0,2,17,15,9,12,14,7,0,0,1,1,0,1,8,6,5,11
27,6,0,2,3,23,15,10,14,7,0,0,0,1,0,0,18,5,10,9
27,6,1,2,11,11,13,13,14,7,0,0,0,1,0,0,4,5,3,3
27,6,0,2,3,23,15,10,14,7,0,0,0,1,0,0,18,5,10,4
25,6,1,2,10,9,10,14,14,7,0,0,1,1,0,0,24,2,16,7
27,6,0,0,3,23,15,10,14,7,0,0,0,1,0,0,18,5,10,2
22,6,2,0,6,12,6,1,14,7,0,0,1,0,0,2,6,4,4,2
22,6,2,0,0,4,15,19,14,7,0,0,1,1,0,0,22,10,10,2
5,6,2,0,3,23,15,10,14,7,0,0,0,1,0,0,18,5,10,7
20,6,2,0,3,12,6,3,14,7,0,2,0,0,0,0,0,6,0,2
27,6,4,0,11,11,13,13,14,7,0,0,0,1,0,0,4,5,3,2
11,6,1,0,19,7,2,1,14,7,0,1,0,0,0,0,15,11,5,1
13,6,1,0,10,2,11,9,14,7,0,2,1,0,0,1,17,7,8,7
22,7,3,0,3,12,6,3,2,4,0,2,0,0,0,0,0,6,0,2
24,7,3,0,6,12,6,1,2,4,0,0,1,0,0,2,6,4,4,4
13,7,4,0,13,22,8,8,2,4,0,0,4,1,0,0,3,3,3,7
7,7,0,0,14,2,5,6,2,4,0,1,0,0,0,0,12,10,5,7
24,7,4,0,19,7,2,1,2,4,0,1,0,0,0,0,15,11,5,7
25,7,4,0,0,1,7,9,2,4,0,0,0,0,0,0,14,7,7,7
25,7,0,0,13,22,8,8,2,4,0,0,4,1,0,0,3,3,3,4
27,7,1,0,0,1,7,9,2,4,0,0,0,0,0,0,14,7,7,7
15,7,0,0,18,12,10,14,2,4,0,0,2,1,1,1,11,9,5,7
22,7,0,0,10,14,9,17,2,4,0,0,1,0,1,4,17,0,12,1
27,7,1,0,11,11,13,13,2,4,0,0,0,1,0,0,4,5,3,2
9,7,1,0,6,12,6,1,2,4,0,0,1,0,0,2,6,4,4,17
27,7,1,0,3,23,15,10,2,4,0,0,0,1,0,0,18,5,10,1
22,7,4,0,0,4,15,19,2,4,0,0,1,1,0,0,22,10,10,1
21,7,4,0,20,24,1,1,2,4,0,0,1,1,0,3,13,7,6,7
21,7,0,0,16,17,10,6,2,4,0,0,2,1,0,1,19,7,9,7
25,7,0,0,10,9,10,14,2,4,0,0,1,1,0,0,24,2,16,7
27,7,1,0,11,11,13,13,2,4,0,0,0,1,0,0,4,5,3,2
27,7,3,0,17,15,9,12,2,4,0,0,1,1,0,1,8,6,5,1
22,7,3,0,15,0,11,11,2,4,0,0,2,1,1,0,5,3,4,2
24,8,3,0,3,23,15,10,11,5,0,0,0,1,0,0,18,5,10,4
24,8,0,0,3,10,14,12,11,5,0,1,2,0,1,0,2,5,2,1
27,8,1,0,11,11,13,13,11,5,0,0,0,1,0,0,4,5,3,4
27,8,1,0,0,1,7,9,11,5,0,0,0,0,0,0,14,7,7,4
25,8,1,0,16,17,10,6,11,5,0,0,2,1,0,1,19,7,9,7
25,8,1,0,10,9,10,14,11,5,0,0,1,1,0,0,24,2,16,7
27,8,3,0,17,15,9,12,11,5,0,0,1,1,0,1,8,6,5,4
24,8,0,0,3,23,15,10,11,5,0,0,0,1,0,0,18,5,10,4
24,8,1,0,3,10,14,12,11,5,0,1,2,0,1,0,2,5,2,7
22,8,3,0,19,7,2,1,11,5,0,1,0,0,0,0,15,11,5,8
22,8,1,0,10,2,11,9,11,5,0,2,1,0,0,1,17,7,8,4
27,8,1,0,11,11,13,13,11,5,0,0,0,1,0,0,4,5,3,1
27,8,1,0,0,1,7,9,11,5,0,0,0,0,0,0,14,7,7,5
27,8,3,0,17,15,9,12,11,5,0,0,1,1,0,1,8,6,5,2
27,8,0,0,13,22,8,8,11,5,0,0,4,1,0,0,3,3,3,3
27,9,1,0,11,11,13,13,16,1,0,0,0,1,0,0,4,5,3,1
27,9,1,0,11,11,13,13,16,1,0,0,0,1,0,0,4,5,3,1
27,9,1,0,0,1,7,9,16,1,0,0,0,0,0,0,14,7,7,3
22,9,1,0,1,3,11,7,16,1,0,0,2,1,0,0,21,13,5,2
27,9,3,0,17,15,9,12,16,1,0,0,1,1,0,1,8,6,5,2
22,9,4,0,3,12,6,3,16,1,0,2,0,0,0,0,0,6,0,7
22,9,4,0,12,11,11,16,16,1,0,0,2,0,0,1,16,1,11,1
22,9,0,0,3,23,15,10,16,1,0,0,0,1,0,0,18,5,10,4
22,9,2,0,6,12,6,1,16,1,0,0,1,0,0,2,6,4,4,1
22,9,0,0,3,12,6,3,16,1,0,2,0,0,0,0,0,6,0,2
22,9,1,3,21,8,9,4,16,1,0,0,3,1,0,0,7,4,5,7
21,9,1,3,20,24,1,1,16,1,0,0,1,1,0,3,13,7,6,7
4,10,3,3,16,20,17,18,27,3,0,0,0,0,0,2,25,7,15,1
11,10,3,3,10,7,5,5,27,3,0,2,0,0,0,0,9,10,5,3
25,10,4,3,11,11,13,13,27,3,0,0,0,1,0,0,4,5,3,7
14,10,2,3,16,20,17,18,27,3,0,0,0,0,0,2,25,7,15,3
27,10,2,3,17,15,9,12,27,3,0,0,1,1,0,1,8,6,5,2
22,10,1,3,0,1,7,9,27,3,0,0,0,0,0,0,14,7,7,2
22,10,3,3,16,20,17,18,27,3,0,0,0,0,0,2,25,7,15,2
22,10,4,3,17,15,9,12,27,3,0,0,1,1,0,1,8,6,5,1
22,10,1,3,6,12,6,1,27,3,0,0,1,0,0,2,6,4,4,2
22,10,1,3,21,8,9,4,27,3,0,0,3,1,0,0,7,4,5,7
22,10,1,3,21,8,9,4,27,3,0,0,3,1,0,0,7,4,5,3
22,10,1,3,6,12,6,1,27,3,0,0,1,0,0,2,6,4,4,4
25,10,1,3,21,8,9,4,27,3,0,0,3,1,0,0,7,4,5,7
27,10,2,3,3,23,15,10,27,3,0,0,0,1,0,0,18,5,10,3
1,10,2,3,7,5,13,21,27,3,0,0,2,0,0,1,3,7,2,1
22,10,2,3,17,15,9,12,27,3,0,0,1,1,0,1,8,6,5,1
10,10,3,3,21,8,9,4,27,3,0,0,3,1,0,0,7,4,5,7
13,10,3,3,6,12,6,1,27,3,0,0,1,0,0,2,6,4,4,1
10,10,4,3,21,8,9,4,27,3,0,0,3,1,0,0,7,4,5,7
10,10,4,3,6,12,6,1,27,3,0,0,1,0,0,2,6,4,4,3
22,10,0,3,5,14,10,6,27,3,0,0,2,0,0,2,6,2,5,7
6,10,0,3,10,7,5,5,27,3,0,2,0,0,0,0,9,10,5,7
10,10,0,3,12,11,11,16,27,3,0,0,2,0,0,1,16,1,11,7
0,10,0,3,6,12,6,1,27,3,1,0,1,0,0,2,6,4,4,0
13,10,1,3,6,12,6,1,27,3,0,0,1,0,0,2,6,4,4,3
20,11,1,3,3,23,15,10,21,5,0,0,0,1,0,0,18,5,10,1
27,11,2,3,0,1,7,9,21,5,0,0,0,0,0,0,14,7,7,3
2,11,2,3,19,7,2,1,21,5,0,1,0,0,0,0,15,11,5,9
27,11,4,3,3,23,15,10,21,5,0,0,0,1,0,0,18,5,10,1
9,11,1,3,0,1,7,9,21,5,0,0,0,0,0,0,14,7,7,7
23,11,2,3,16,17,10,6,21,5,0,0,2,1,0,1,19,7,9,7
1,11,4,3,10,7,5,5,21,5,0,2,0,0,0,0,9,10,5,7
22,11,4,3,6,12,6,1,21,5,0,0,1,0,0,2,6,4,4,4
21,11,1,3,20,24,1,1,21,5,0,0,1,1,0,3,13,7,6,7
27,11,2,3,17,15,9,12,21,5,0,0,1,1,0,1,8,6,5,2
13,11,3,3,0,1,7,9,21,5,0,0,0,0,0,0,14,7,7,2
14,11,3,3,6,12,6,1,21,5,0,0,1,0,0,2,6,4,4,3
27,11,0,3,3,23,15,10,21,5,0,0,0,1,0,0,18,5,10,1
22,11,0,3,0,1,7,9,21,5,0,0,0,0,0,0,14,7,7,7
8,11,1,3,0,1,7,9,21,5,0,0,0,0,0,0,14,7,7,7
22,11,1,3,6,12,6,1,21,5,0,0,1,0,0,2,6,4,4,2
0,11,1,3,17,15,9,12,21,5,1,0,1,1,0,1,8,6,5,0
0,11,2,3,16,17,10,6,21,5,1,0,2,1,0,1,19,7,9,0
14,11,3,3,12,11,11,16,21,5,0,0,2,0,0,1,16,1,11,4
0,11,3,3,10,9,10,14,21,5,1,0,1,1,0,0,24,2,16,0
22,11,4,3,6,12,6,1,21,5,0,0,1,0,0,2,6,4,4,2
25,11,4,3,21,8,9,4,21,5,0,0,3,1,0,0,7,4,5,7
27,11,0,3,20,24,1,1,21,5,0,0,1,1,0,3,13,7,6,2
13,12,1,3,3,23,15,10,25,10,0,0,0,1,0,0,18,5,10,10
27,12,2,3,17,15,9,12,25,10,0,0,1,1,0,1,8,6,5,1
22,12,2,3,6,12,6,1,25,10,0,0,1,0,0,2,6,4,4,3
13,12,4,3,3,12,6,3,25,10,0,2,0,0,0,0,0,6,0,1
22,12,4,3,6,12,6,1,25,10,0,0,1,0,0,2,6,4,4,3
22,12,2,3,6,12,6,1,25,10,0,0,1,0,0,2,6,4,4,3
14,12,3,3,20,24,1,1,25,10,0,0,1,1,0,3,13,7,6,4
18,12,4,3,3,10,14,12,25,10,0,1,2,0,1,0,2,5,2,2
25,12,4,3,10,9,10,14,25,10,0,0,1,1,0,0,24,2,16,7
18,12,0,3,9,23,0,4,25,10,0,1,1,1,0,5,5,10,1,7
13,12,1,3,3,12,6,3,25,10,0,2,0,0,0,0,0,6,0,8
22,12,1,3,6,12,6,1,25,10,0,0,1,0,0,2,6,4,4,2
22,12,3,3,6,12,6,1,25,10,0,0,1,0,0,2,6,4,4,3
22,12,0,3,6,12,6,1,25,10,0,0,1,0,0,2,6,4,4,2
18,12,1,1,1,3,11,7,25,10,0,0,2,1,0,0,21,13,5,15
12,1,0,1,3,12,6,3,32,8,0,2,0,0,0,0,0,6,0,9
12,1,3,1,3,12,6,3,32,8,0,2,0,0,0,0,0,6,0,8
24,1,3,1,3,10,14,12,32,8,0,1,2,0,1,0,2,5,2,2
24,1,4,1,3,10,14,12,32,8,0,1,2,0,1,0,2,5,2,2
13,1,0,1,3,12,6,3,32,8,0,2,0,0,0,0,0,6,0,3
24,1,2,1,3,10,14,12,32,8,0,1,2,0,1,0,2,5,2,2
10,1,3,1,16,20,17,18,32,8,0,0,0,0,0,2,25,7,15,7
18,1,4,1,3,10,14,12,32,8,0,1,2,0,1,0,2,5,2,3
26,1,0,1,3,12,6,3,32,8,0,2,0,0,0,0,0,6,0,2
18,1,1,1,1,3,11,7,32,8,0,0,2,1,0,0,21,13,5,7
26,1,2,1,3,12,6,3,32,8,0,2,0,0,0,0,0,6,0,2
26,1,2,1,3,23,15,10,32,8,0,0,0,1,0,0,18,5,10,3
13,1,2,1,16,17,10,6,32,8,0,0,2,1,0,1,19,7,9,7
26,1,3,1,3,23,15,10,32,8,0,0,0,1,0,0,18,5,10,3
26,1,4,1,3,23,15,10,32,8,0,0,0,1,0,0,18,5,10,2
13,2,1,1,3,23,15,10,17,9,0,0,0,1,0,0,18,5,10,7
22,2,1,1,6,12,6,1,17,9,0,0,1,0,0,2,6,4,4,3
1,2,2,1,12,11,11,16,17,9,0,0,2,0,0,1,16,1,11,7
26,2,2,1,3,23,15,10,17,9,0,0,0,1,0,0,18,5,10,2
27,2,3,1,6,12,6,1,17,9,0,0,1,0,0,2,6,4,4,3
26,2,3,1,3,23,15,10,17,9,0,0,0,1,0,0,18,5,10,2
26,2,3,1,3,12,6,3,17,9,0,2,0,0,0,0,0,6,0,2
27,2,4,1,6,6,12,13,17,9,0,3,2,1,0,2,20,11,7,2
26,2,4,1,3,23,15,10,17,9,0,0,0,1,0,0,18,5,10,2
19,2,0,1,9,23,0,4,17,9,0,1,1,1,0,5,5,10,1,2
26,2,0,1,3,23,15,10,17,9,0,0,0,1,0,0,18,5,10,2
7,2,1,1,6,12,6,1,17,9,0,0,1,0,0,2,6,4,4,7
26,2,2,1,3,23,15,10,17,9,0,0,0,1,0,0,18,5,10,3
26,2,3,1,3,23,15,10,17,9,0,0,0,1,0,0,18,5,10,3
24,2,3,1,6,12,6,1,17,9,0,0,1,0,0,2,6,4,4,3
13,2,3,1,3,12,6,3,17,9,0,2,0,0,0,0,0,6,0,2
22,2,4,1,3,10,14,12,17,9,0,1,2,0,1,0,2,5,2,2
26,2,4,1,3,23,15,10,17,9,0,0,0,1,0,0,18,5,10,3
12,2,2,1,9,23,0,4,17,9,0,1,1,1,0,5,5,10,1,3
26,2,2,1,3,12,6,3,17,9,0,2,0,0,0,0,0,6,0,2
26,2,2,1,3,23,15,10,17,9,0,0,0,1,0,0,18,5,10,2
13,2,3,1,3,23,15,10,17,9,0,0,0,1,0,0,18,5,10,7
26,2,4,1,3,23,15,10,17,9,0,0,0,1,0,0,18,5,10,2
24,2,0,1,1,3,11,7,17,9,0,0,2,1,0,0,21,13,5,5
24,2,0,1,10,7,5,5,17,9,0,2,0,0,0,0,9,10,5,3
26,2,0,1,3,23,15,10,17,9,0,0,0,1,0,0,18,5,10,2
7,2,0,1,6,12,6,1,17,9,0,0,1,0,0,2,6,4,4,2
26,2,1,1,3,23,15,10,17,9,0,0,0,1,0,0,18,5,10,2
22,2,1,1,12,11,11,16,17,9,0,0,2,0,0,1,16,1,11,2
24,2,1,1,6,12,6,1,17,9,0,0,1,0,0,2,6,4,4,2
26,2,2,1,3,23,15,10,17,9,0,0,0,1,0,0,18,5,10,2
26,2,3,1,3,23,15,10,17,9,0,0,0,1,0,0,18,5,10,2
24,2,4,1,10,7,5,5,17,9,0,2,0,0,0,0,9,10,5,2
26,3,0,1,3,23,15,10,1,11,0,0,0,1,0,0,18,5,10,2
22,3,0,1,12,11,11,16,1,11,0,0,2,0,0,1,16,1,11,2
24,3,1,1,7,5,13,21,1,11,0,0,2,0,0,1,3,7,2,3
24,3,1,1,12,11,11,16,1,11,0,0,2,0,0,1,16,1,11,3
12,3,1,1,7,5,13,21,1,11,0,0,2,0,0,1,3,7,2,17
26,3,2,1,3,23,15,10,1,11,0,0,0,1,0,0,18,5,10,2
26,3,3,1,6,12,6,1,1,11,0,0,1,0,0,2,6,4,4,2
26,3,3,1,3,23,15,10,1,11,0,0,0,1,0,0,18,5,10,3
24,3,3,1,6,12,6,1,1,11,0,0,1,0,0,2,6,4,4,2
26,3,4,1,3,12,6,3,1,11,0,2,0,0,0,0,0,6,0,3
24,3,0,1,10,7,5,5,1,11,0,2,0,0,0,0,9,10,5,3
19,3,0,1,20,24,1,1,1,11,0,0,1,1,0,3,13,7,6,7
13,3,1,1,3,23,15,10,1,11,0,0,0,1,0,0,18,5,10,7
26,3,2,1,3,23,15,10,1,11,0,0,0,1,0,0,18,5,10,2
26,3,3,1,3,23,15,10,1,11,0,0,0,1,0,0,18,5,10,3
26,3,4,1,3,12,6,3,1,11,0,2,0,0,0,0,0,6,0,2
10,3,0,1,3,23,15,10,1,11,0,0,0,1,0,0,18,5,10,4
13,3,0,1,12,11,11,16,1,11,0,0,2,0,0,1,16,1,11,2
26,3,0,1,3,23,15,10,1,11,0,0,0,1,0,0,18,5,10,3
7,3,0,1,6,12,6,1,1,11,0,0,1,0,0,2,6,4,4,7
26,3,1,1,3,23,15,10,1,11,0,0,0,1,0,0,18,5,10,2
22,3,2,1,16,17,10,6,1,11,0,0,2,1,0,1,19,7,9,7
24,3,2,1,7,5,13,21,1,11,0,0,2,0,0,1,3,7,2,2
26,3,2,1,3,23,15,10,1,11,0,0,0,1,0,0,18,5,10,2
22,3,3,1,12,11,11,16,1,11,0,0,2,0,0,1,16,1,11,3
26,3,3,1,3,23,15,10,1,11,0,0,0,1,0,0,18,5,10,3
22,3,4,1,3,12,6,3,1,11,0,2,0,0,0,0,0,6,0,2
26,3,4,1,3,23,15,10,1,11,0,0,0,1,0,0,18,5,10,3
26,3,1,2,3,23,15,10,1,11,0,0,0,1,0,0,18,5,10,3
22,3,2,2,0,6,16,15,1,11,0,0,2,1,1,0,9,9,5,7
13,3,2,2,1,3,11,7,1,11,0,0,2,1,0,0,21,13,5,9
26,3,2,2,3,23,15,10,1,11,0,0,0,1,0,0,18,5,10,3
26,3,3,2,3,23,15,10,1,11,0,0,0,1,0,0,18,5,10,3
13,3,0,2,3,12,6,3,1,11,0,2,0,0,0,0,0,6,0,2
19,3,0,2,16,17,10,6,1,11,0,0,2,1,0,1,19,7,9,16
21,3,2,2,21,8,9,4,1,11,0,0,3,1,0,0,7,4,5,7
13,4,0,2,6,12,6,1,10,3,0,0,1,0,0,2,6,4,4,7
10,4,0,2,0,1,7,9,10,3,0,0,0,0,0,0,14,7,7,7
19,4,1,2,20,24,1,1,10,3,0,0,1,1,0,3,13,7,6,7
19,4,2,2,12,11,11,16,10,3,0,0,2,0,0,1,16,1,11,7
13,4,3,2,5,14,10,6,10,3,0,0,2,0,0,2,6,2,5,7
26,4,4,2,3,12,6,3,10,3,0,2,0,0,0,0,0,6,0,2
7,4,0,2,21,8,9,4,10,3,0,0,3,1,0,0,7,4,5,9
16,4,1,2,3,10,14,12,10,3,0,1,2,0,1,0,2,5,2,2
22,4,1,2,0,4,15,19,10,3,0,0,1,1,0,0,22,10,10,3
22,4,1,2,20,24,1,1,10,3,0,0,1,1,0,3,13,7,6,2
10,4,2,2,0,1,7,9,10,3,0,0,0,0,0,0,14,7,7,2
21,4,4,2,10,2,11,9,10,3,0,2,1,0,0,1,17,7,8,7
26,4,4,2,3,12,6,3,10,3,0,2,0,0,0,0,0,6,0,2
19,4,0,2,6,12,6,1,10,3,0,0,1,0,0,2,6,4,4,7
16,4,1,2,10,7,5,5,10,3,0,2,0,0,0,0,9,10,5,3
26,4,4,2,3,12,6,3,10,3,0,2,0,0,0,0,0,6,0,2
27,4,1,2,1,3,11,7,10,3,0,0,2,1,0,0,21,13,5,4
19,4,3,2,6,12,6,1,10,3,0,0,1,0,0,2,6,4,4,7
14,4,3,2,0,4,15,19,10,3,0,0,1,1,0,0,22,10,10,2
26,4,4,2,3,12,6,3,10,3,0,2,0,0,0,0,0,6,0,2
21,5,0,2,10,2,11,9,4,11,0,2,1,0,0,1,17,7,8,7
19,5,2,2,6,6,12,13,4,11,0,3,2,1,0,2,20,11,7,3
27,5,2,2,10,7,5,5,4,11,0,2,0,0,0,0,9,10,5,2
8,5,2,2,0,1,7,9,4,11,0,0,0,0,0,0,14,7,7,3
25,5,2,2,10,9,10,14,4,11,0,0,1,1,0,0,24,2,16,7
13,5,3,2,3,12,6,3,4,11,0,2,0,0,0,0,0,6,0,1
27,5,3,2,17,15,9,12,4,11,0,0,1,1,0,1,8,6,5,2
14,5,3,2,6,6,12,13,4,11,0,3,2,1,0,2,20,11,7,7
19,5,4,2,18,12,10,14,4,11,0,0,2,1,1,1,11,9,5,14
21,5,4,2,6,6,12,13,4,11,0,3,2,1,0,2,20,11,7,7
26,5,4,2,3,12,6,3,4,11,0,2,0,0,0,0,0,6,0,2
22,5,0,2,0,4,15,19,4,11,0,0,1,1,0,0,22,10,10,2
5,5,1,2,0,4,15,19,4,11,0,0,1,1,0,0,22,10,10,3
27,5,1,2,0,1,7,9,4,11,0,0,0,0,0,0,14,7,7,1
0,5,1,2,0,4,15,19,4,11,1,0,1,1,0,0,22,10,10,0
26,5,2,2,3,12,6,3,4,11,0,2,0,0,0,0,0,6,0,2
0,5,2,2,22,21,8,8,4,11,1,0,2,0,1,3,3,8,1,0
