surgery,age,hospital_number,rectal_temperature,pulse,respiratory_rate,temperature_of_extremities,peripheral_pulse,mucous_membranes,capillary_refill_time,pain,peristalsis,abdominal_distension,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_ph,rectal_examination_feces,abdomen,packed_cell_volume,total_protein,abdominocentesis_appearance,abdominocentesis_total_protein,outcome,lesion_site,lesion_type,lesion_subtype,cp_data,surgical_lesion
0,0,141,65,20,16,0,0,3,0,4,2,2,1,2,5,4,3,26,15,3,39,1,10,0,0,1,0
0,0,258,38,49,7,0,4,6,1,5,2,2,3,3,20,0,5,80,84,3,39,0,13,0,0,0,0
0,1,270,34,7,36,0,2,1,0,1,2,3,3,3,20,4,5,38,65,0,39,0,53,0,0,0,0
1,0,68,65,50,40,2,2,2,1,4,3,3,3,0,20,3,4,61,84,3,39,1,60,0,0,1,0
0,0,143,21,37,16,2,4,2,0,3,1,3,1,1,16,0,4,38,49,0,39,0,27,0,0,1,0
0,0,127,32,47,11,2,2,3,0,4,3,2,1,0,20,2,3,26,6,3,39,1,14,0,0,1,0
0,0,17,30,2,28,1,2,3,0,3,2,2,1,3,20,2,3,80,84,2,39,0,10,0,0,1,0
1,0,34,34,27,40,1,4,0,1,2,2,0,1,0,20,4,1,12,31,3,39,0,19,0,0,1,1
0,0,228,53,0,25,3,3,5,0,1,3,0,0,2,2,4,3,67,2,2,9,2,8,0,0,1,0
1,0,26,6,23,6,2,2,1,0,0,3,0,0,0,20,4,4,48,47,3,39,1,38,0,0,1,0
0,1,271,46,7,19,2,0,1,0,1,2,3,0,0,20,3,3,44,53,2,39,1,13,0,0,0,0
1,0,154,65,4,11,2,2,3,1,4,3,1,3,3,20,3,5,24,11,2,15,0,2,0,0,0,1
0,0,167,65,43,40,2,2,2,0,3,3,3,3,3,20,3,4,29,57,3,39,0,19,0,0,1,0
0,1,275,46,18,35,0,4,0,0,3,0,2,3,3,20,1,5,10,3,3,39,1,46,0,0,1,0
0,0,172,18,39,40,1,0,0,0,1,0,0,0,0,20,0,5,13,40,1,9,2,48,0,0,1,0
0,0,111,44,50,14,2,2,3,0,5,3,4,3,2,19,4,5,64,82,3,39,1,10,0,0,0,0
1,0,209,18,30,1,0,0,0,0,1,2,1,1,0,20,2,4,15,36,0,1,0,0,0,0,1,1
0,0,18,64,39,21,2,2,0,0,1,2,0,1,0,20,4,5,52,51,2,39,1,56,0,0,0,0
1,0,222,28,22,12,4,0,0,0,3,2,1,0,0,20,3,5,17,44,3,39,0,0,0,0,1,1
1,0,80,38,27,5,1,0,0,0,0,4,1,1,0,20,4,1,23,30,3,39,0,19,0,0,0,1
1,1,283,42,47,14,4,4,6,3,5,4,4,3,3,20,4,5,14,15,3,39,0,0,0,0,1,1
0,0,62,11,40,19,4,4,2,1,3,3,1,1,2,9,3,3,40,51,2,19,1,57,0,0,0,0
0,0,151,36,24,8,2,0,1,0,2,2,2,1,0,20,0,4,32,30,1,27,0,14,0,0,0,0
1,0,51,65,32,30,2,0,0,0,2,2,0,1,0,20,0,5,24,25,3,39,2,41,0,0,1,0
1,0,116,42,37,7,1,0,2,0,2,2,1,0,0,20,0,4,21,30,0,39,0,39,0,0,0,1
1,0,20,36,31,6,2,0,1,0,1,2,1,3,2,11,4,3,32,49,2,39,0,9,0,0,0,1
0,0,196,33,23,7,4,4,0,0,5,2,4,3,3,20,2,5,37,35,3,39,0,0,0,0,1,1
0,0,21,54,34,38,1,2,0,0,5,2,0,0,1,16,0,4,23,32,3,39,0,59,0,0,1,0
0,0,50,19,33,24,2,2,0,0,2,2,1,1,1,4,2,3,14,30,3,39,1,14,0,0,1,0
0,0,207,22,43,40,2,2,5,0,4,3,0,1,2,20,2,0,43,20,2,9,0,34,0,0,1,0
0,0,110,65,0,15,2,2,3,1,4,3,3,2,2,20,3,3,48,31,3,39,0,9,0,0,1,0
0,0,54,23,6,14,2,2,2,0,4,2,2,0,0,20,4,5,66,46,2,39,1,33,0,0,0,0
0,0,206,65,41,40,4,2,6,3,5,3,3,3,3,20,4,4,80,84,3,39,2,54,0,0,1,0
0,1,276,46,15,24,0,2,5,1,4,2,1,0,0,20,4,5,44,27,3,39,1,35,0,0,1,0
0,0,213,29,20,5,2,0,0,0,3,1,1,2,2,2,2,5,17,62,1,1,2,19,0,0,1,1
1,0,52,8,29,20,1,2,2,0,0,2,1,2,0,17,4,5,19,30,3,39,0,19,0,0,1,1
1,0,29,25,22,5,0,0,0,0,0,0,0,3,3,20,0,0,18,33,3,39,0,0,0,0,1,1
1,0,77,34,32,20,3,2,0,0,1,3,2,1,1,19,4,5,38,49,0,14,0,50,0,0,0,1
0,0,208,41,27,1,4,4,0,3,0,0,4,3,3,20,4,5,15,42,3,39,0,0,0,0,1,1
1,0,156,62,42,40,2,2,4,0,1,2,0,0,0,20,3,0,68,30,3,39,1,51,0,0,0,0
0,0,11,65,38,5,2,3,4,1,1,2,1,1,0,20,3,4,61,52,3,39,1,5,0,0,1,0
0,0,19,34,39,6,4,4,6,3,5,4,4,3,3,20,4,5,14,29,3,39,0,23,0,0,1,0
1,0,150,40,31,40,0,0,0,0,2,0,0,1,0,20,0,5,24,33,1,36,0,0,0,0,0,1
0,0,260,40,36,11,0,0,0,0,2,2,0,1,0,20,3,4,24,32,0,39,0,59,0,0,0,0
1,0,252,25,44,1,2,0,0,1,3,4,2,0,2,20,4,5,44,46,3,39,2,10,0,0,1,0
1,1,282,58,45,15,4,4,6,0,5,4,4,3,3,20,4,5,3,10,3,39,0,0,0,0,1,1
0,0,89,65,52,40,4,4,6,3,5,4,4,3,3,20,4,5,80,84,3,39,0,9,0,0,1,0
0,0,74,30,29,19,4,0,0,0,2,1,1,3,3,20,2,5,23,31,0,33,0,51,0,0,0,0
1,0,229,41,25,5,1,0,1,0,0,0,4,3,3,20,0,0,29,23,3,39,0,0,0,0,1,1
0,0,67,48,43,22,2,2,2,0,1,2,2,1,1,17,2,0,52,30,2,39,1,46,0,0,1,0
0,0,123,9,36,7,0,2,1,0,3,2,2,0,3,20,0,4,14,34,1,39,1,59,0,0,1,0
0,0,181,65,42,11,2,2,2,0,5,2,4,1,0,20,4,3,29,37,3,9,2,14,0,0,1,1
1,0,176,39,22,5,0,0,0,0,1,0,0,3,3,20,2,1,17,42,3,39,0,0,0,0,1,1
0,0,174,65,6,31,3,4,3,1,1,3,4,3,3,20,4,4,53,40,3,39,2,25,0,0,1,1
1,0,15,13,39,11,2,1,3,1,3,2,2,2,0,20,3,3,32,84,2,20,2,13,0,0,0,0
0,0,84,19,39,15,3,2,3,0,3,3,2,1,0,20,2,4,61,33,3,39,1,25,0,0,1,0
0,0,155,5,0,11,2,2,2,0,2,2,2,2,0,20,3,3,44,25,2,21,0,13,0,0,0,0
0,0,205,12,22,7,4,4,6,3,5,4,4,3,3,20,3,0,15,37,0,1,2,44,0,0,1,1
