Marketing expense,Production expense,Multiplex coverage,Budget,Movie_length,Lead_ Actor_Rating,Lead_Actress_rating,Director_rating,Producer_rating,Critic_rating,Trailer_views,3D_available,Time_taken,Twitter_hastags,Genre,Avg_age_actors,Num_multiplex,Collection,Start_Tech_Oscarclass
382,71,1,235,289,252,283,264,249,5,232,1,314,245,3,37,263,97,1
378,71,1,26,329,273,298,270,261,5,215,0,228,314,2,33,253,106,1
386,71,1,86,274,297,306,292,276,34,187,1,385,371,0,38,284,67,1
374,71,3,445,240,298,305,297,271,5,351,0,231,183,3,7,210,116,0
391,71,3,0,267,323,316,314,308,5,449,1,232,202,3,32,245,157,1
380,71,3,11,292,289,316,301,316,34,147,0,427,322,2,39,271,116,1
466,71,13,1,355,329,327,326,310,34,266,0,405,109,2,5,161,128,1
398,71,13,12,355,333,346,328,334,34,494,0,381,274,3,22,212,227,1
405,71,13,341,333,328,337,316,349,34,417,1,124,420,3,39,242,227,1
415,71,13,386,340,335,353,337,331,5,437,1,416,218,1,27,186,227,1
440,71,13,223,355,336,352,334,347,34,222,1,392,274,1,6,199,227,1
433,71,9,108,280,338,350,336,340,5,258,1,446,218,1,38,225,227,1
456,71,9,9,355,332,351,335,348,34,4,1,137,225,1,37,200,41,1
483,71,9,2,355,334,349,338,350,5,1,0,154,225,2,16,260,41,1
485,71,8,409,343,324,335,320,352,34,192,0,315,366,1,26,213,52,0
476,71,8,336,305,321,346,333,333,34,60,1,369,363,1,7,256,42,1
447,71,8,357,351,326,348,328,332,34,46,1,68,287,1,3,250,37,0
490,71,8,264,329,330,341,327,332,5,57,1,348,285,2,35,218,35,1
481,71,8,225,355,332,345,329,320,34,51,0,217,67,0,27,178,16,0
503,71,8,378,297,320,344,313,336,5,146,1,365,282,1,2,237,17,0
479,71,8,312,353,311,336,317,328,5,80,0,290,5,0,41,179,20,0
439,71,5,40,355,302,316,311,338,34,61,1,249,69,3,27,197,22,1
428,71,5,38,355,317,333,311,326,34,36,0,130,358,2,22,254,29,1
486,71,5,3,290,331,332,329,322,34,8,0,30,279,3,6,214,12,1
480,71,5,22,345,334,340,319,324,5,7,0,420,220,0,17,191,4,1
491,71,5,6,355,317,330,311,342,34,15,1,202,356,3,15,188,18,1
489,71,5,14,279,310,322,309,345,34,10,0,261,353,0,35,205,5,1
471,71,5,7,355,312,329,316,310,5,11,0,74,4,2,6,259,16,1
430,71,5,27,352,295,320,294,319,34,66,0,64,151,0,32,204,23,1
419,71,5,72,335,279,305,268,311,5,142,1,382,79,3,1,259,53,0
401,71,5,172,237,281,290,250,263,34,136,1,379,36,3,34,207,129,1
458,71,5,17,335,297,301,296,323,5,29,0,14,280,1,32,248,15,1
435,71,6,216,301,303,309,282,314,34,179,0,333,289,3,36,215,41,1
465,71,6,116,317,296,317,285,313,34,151,0,131,359,1,21,232,32,1
436,71,6,296,351,292,322,304,312,34,157,0,35,361,0,10,260,35,0
411,71,6,273,327,312,310,306,317,5,91,1,9,71,3,5,247,30,0
425,71,6,76,352,316,317,310,315,5,84,0,350,278,1,3,236,11,0
497,71,6,34,355,326,338,307,329,5,14,0,356,219,2,7,231,0,1
448,71,6,97,221,318,339,311,329,5,9,0,127,276,3,23,201,2,0
493,71,6,152,355,316,328,297,330,34,25,1,345,63,2,11,206,1,0
470,71,6,255,355,313,332,305,325,34,72,1,178,0,1,31,255,4,0
445,71,6,272,355,320,330,309,293,34,56,0,8,284,3,23,249,28,0
492,71,6,25,327,314,328,299,289,5,83,1,57,354,3,21,243,9,0
498,71,6,39,256,302,315,318,329,34,27,0,274,66,1,37,203,11,0
501,71,6,64,355,329,343,330,313,5,39,1,172,275,3,19,232,0,0
487,71,10,2,355,334,350,331,351,5,49,1,283,283,3,34,208,26,0
460,71,10,53,355,334,347,332,335,34,172,1,116,263,3,7,239,158,1
423,71,18,55,343,329,331,324,327,5,28,0,100,162,3,6,135,70,1
473,71,18,366,355,330,337,329,309,5,103,1,201,336,2,38,166,157,1
500,71,18,77,355,319,334,323,343,5,294,0,374,78,3,33,205,52,0
469,71,18,338,355,327,326,315,318,34,50,0,377,299,1,25,154,70,1
484,71,18,5,355,312,317,308,339,34,3,0,263,375,1,21,182,77,1
495,71,18,19,355,308,329,320,314,34,73,0,113,295,3,39,161,62,1
499,71,6,4,355,315,320,298,317,34,0,1,66,145,3,21,252,3,1
482,71,7,285,355,304,301,303,283,5,20,0,291,64,1,40,183,4,1
454,71,7,356,287,302,317,286,289,34,34,1,57,1,3,16,227,6,0
494,71,7,23,275,316,327,305,302,5,21,1,289,355,0,41,184,17,1
502,71,7,139,355,299,307,302,299,34,81,0,275,146,1,33,245,12,1
459,71,3,361,215,291,299,283,333,34,59,0,57,221,1,7,219,10,0
455,71,3,275,355,300,297,299,288,5,167,1,65,231,0,29,228,66,1
420,71,3,157,322,297,314,299,266,34,174,0,256,9,1,10,270,45,0
461,71,15,60,266,284,287,271,313,34,225,0,319,102,1,17,178,106,0
421,71,15,186,254,289,298,260,283,34,38,0,254,421,2,10,220,38,1
437,71,20,42,194,274,282,257,304,5,101,0,210,70,1,38,223,24,0
478,71,7,121,323,283,305,292,288,34,45,1,22,354,2,32,241,9,1
462,71,20,93,158,273,308,272,284,5,112,0,337,281,1,14,160,16,0
496,71,7,218,224,290,309,279,307,34,188,0,193,68,2,23,236,20,0
422,71,7,216,222,285,293,290,291,34,55,1,281,150,3,26,244,21,0
442,71,7,264,324,297,307,278,266,34,53,1,303,147,1,33,224,13,1
434,71,20,257,260,272,299,275,274,5,145,0,335,76,3,34,222,48,0
451,71,20,363,313,287,291,266,265,34,89,1,122,290,2,10,150,44,0
414,71,20,280,211,264,289,260,261,34,242,1,298,14,1,23,142,60,0
403,71,4,286,267,267,264,255,251,34,149,0,79,10,0,27,203,46,1
468,71,4,219,320,261,274,263,268,34,152,0,210,70,1,18,266,24,0
457,71,2,331,316,283,284,277,254,34,35,0,422,155,0,27,277,38,1
472,71,2,295,305,269,296,280,294,5,117,1,70,3,3,38,254,14,1
475,71,2,204,355,294,293,292,288,5,30,0,398,65,1,41,241,8,0
467,71,2,132,267,307,311,300,277,5,5,1,372,277,1,38,260,10,1
443,71,2,56,310,305,304,289,302,5,33,1,270,360,1,31,262,33,1
488,71,2,89,300,293,309,293,288,34,58,0,57,148,1,19,268,18,0
446,71,2,274,337,268,284,275,288,5,69,1,346,373,0,39,280,69,1
404,71,2,224,355,289,284,287,278,34,94,0,158,292,3,35,278,50,1
450,71,2,301,355,271,298,271,305,5,86,0,110,294,3,2,238,56,0
463,71,2,98,331,300,299,284,289,34,41,0,16,149,0,15,232,19,1
453,71,2,294,318,279,306,289,269,5,40,1,4,152,3,9,274,25,0
412,71,2,254,330,276,277,269,290,34,111,0,425,365,1,22,257,51,1
449,71,2,235,331,257,280,268,269,34,100,1,387,72,1,18,229,31,0
441,71,4,215,350,262,266,258,269,5,143,1,334,227,1,33,245,44,1
424,71,4,278,347,258,273,272,278,5,106,1,233,154,1,8,264,34,1
417,71,4,350,301,264,273,258,245,34,109,1,331,223,2,40,202,38,0
402,71,4,337,346,257,264,238,270,5,92,1,237,80,1,22,202,54,1
399,71,4,242,296,259,261,258,247,34,132,0,125,369,1,2,226,60,0
432,71,4,413,354,237,257,239,265,5,124,1,55,87,3,23,251,76,0
444,71,4,348,312,258,266,232,234,5,116,0,44,291,3,15,235,47,0
394,71,4,309,262,249,248,233,276,5,126,0,207,290,3,17,208,44,1
393,71,4,147,267,245,258,229,229,5,65,0,162,359,3,12,223,32,1
431,71,4,133,230,230,243,226,205,34,114,0,312,224,1,27,266,39,0
426,71,4,243,246,215,239,225,225,34,158,0,25,365,3,20,229,51,0
418,71,4,179,250,238,244,227,212,34,185,1,6,310,2,8,261,98,1
395,71,4,343,283,228,252,240,239,34,108,1,366,159,3,10,199,63,0
379,71,4,262,270,233,264,242,227,34,144,1,396,234,1,5,216,75,0
416,71,4,249,241,219,247,227,223,34,226,0,45,382,3,3,258,93,1
409,71,4,307,282,217,236,224,221,5,295,1,305,384,1,11,267,100,1
427,71,11,220,174,210,219,208,219,34,235,0,209,104,0,36,175,111,0
372,71,11,78,119,206,222,201,207,5,168,0,410,172,1,24,234,97,1
381,71,11,138,253,213,241,209,218,34,90,1,265,21,1,2,171,88,0
389,71,20,155,315,246,265,223,241,34,52,0,370,240,0,2,114,89,1
477,71,23,128,195,225,217,207,224,5,82,0,43,380,1,9,105,89,1
464,71,23,72,146,221,238,207,231,5,181,0,94,247,1,8,120,99,0
388,71,23,209,247,207,211,211,210,34,104,0,25,172,3,17,223,97,0
384,71,30,227,286,205,223,203,198,5,230,1,294,244,0,33,88,94,1
376,71,23,287,213,219,234,214,209,34,153,1,273,397,0,20,221,129,1
392,71,15,381,181,237,254,246,240,5,278,1,184,410,0,37,216,170,1
429,71,20,33,323,249,256,244,257,34,148,0,333,75,0,28,108,41,1
413,71,20,206,339,258,268,248,303,34,44,1,330,73,2,8,217,37,1
397,71,15,300,308,252,258,250,285,34,70,1,77,296,3,3,167,66,0
474,71,15,23,338,272,282,254,296,5,37,0,359,357,2,20,208,27,1
452,71,15,215,332,271,283,259,268,34,79,1,2,364,2,41,231,49,1
471,71,15,227,268,273,296,283,304,5,237,0,76,28,3,13,218,111,0
410,71,30,231,170,194,189,180,201,5,287,0,284,256,3,3,75,127,1
407,71,30,351,212,196,199,197,192,34,335,0,149,399,1,27,83,134,0
408,71,30,389,218,182,193,192,196,5,426,0,15,118,2,10,180,146,1
370,71,30,79,92,145,164,151,161,34,315,0,376,321,0,38,96,115,0
363,71,21,105,97,170,181,176,170,34,183,1,239,176,2,12,199,104,1
377,71,21,246,128,162,166,162,149,34,261,0,328,250,0,32,110,110,1
406,71,21,190,228,189,192,177,177,5,175,1,286,167,1,38,187,89,1
396,71,21,123,134,202,220,204,193,5,217,0,268,101,1,25,209,104,0
202,75,16,35,302,287,314,293,303,35,130,0,61,293,1,9,195,54,1
222,75,16,32,347,289,318,295,318,6,48,0,394,352,1,10,233,3,0
231,75,16,18,344,298,312,294,292,35,12,1,341,2,0,30,215,7,0
158,75,16,149,351,299,307,285,293,6,78,0,153,288,1,28,164,40,0
165,75,16,149,245,275,296,279,254,6,173,1,316,247,3,38,211,99,0
216,61,19,69,138,242,260,253,261,40,193,1,52,321,3,12,178,115,0
257,61,19,128,102,255,270,256,243,9,252,1,303,116,3,28,149,142,0
220,61,19,62,48,216,243,210,232,40,97,0,272,326,0,36,158,128,1
260,61,19,27,202,230,236,216,218,9,76,0,57,170,3,25,200,95,1
255,61,19,85,194,219,238,211,211,9,159,1,5,303,2,36,177,81,1
245,61,19,162,173,244,262,243,263,9,216,1,38,316,3,13,149,110,1
219,61,19,43,206,260,251,249,253,9,139,0,395,300,2,28,221,73,0
240,61,19,166,227,246,245,225,267,9,198,0,85,297,2,35,132,67,1
99,66,25,323,187,246,246,231,267,3,349,0,360,188,0,8,162,121,0
63,66,25,192,216,261,273,251,261,30,318,1,111,249,0,1,191,104,0
93,66,25,380,288,267,276,265,275,30,460,0,12,196,1,12,174,136,0
162,66,25,357,277,256,257,255,250,3,364,1,219,390,1,28,197,117,0
69,66,25,167,231,240,263,239,244,3,431,1,430,21,1,26,194,88,0
