col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,class
336,259,111,322,352,277,474,311,610,607,593,585,594,610,421,330,2,244,280,352,112,2
147,240,257,324,446,548,368,378,399,250,173,160,426,285,492,519,501,407,457,267,316,0
413,200,461,371,418,552,634,568,701,468,356,290,204,143,265,191,288,326,15,437,479,1
312,279,443,542,306,469,523,621,318,373,370,287,377,313,113,178,366,47,395,203,271,1
271,364,305,222,475,404,453,508,262,261,179,342,277,337,514,518,500,349,253,309,268,0
321,200,185,187,335,263,220,475,404,569,561,560,439,590,443,495,301,209,288,274,280,2
165,473,403,233,486,391,422,443,376,89,187,188,93,271,327,390,406,424,107,214,320,0
279,180,376,554,658,392,619,569,406,531,323,376,218,89,280,323,379,185,289,230,373,1
221,325,343,243,440,148,79,98,42,327,232,307,563,694,701,691,602,522,422,112,66,2
302,406,342,254,318,689,457,398,404,384,102,162,62,233,255,358,223,218,266,366,369,0
39,301,376,280,500,451,273,557,500,350,636,524,550,436,350,259,136,264,376,231,292,1
275,366,379,400,719,636,553,578,456,339,188,149,81,142,125,209,309,203,253,517,168,0
436,335,506,428,392,621,375,272,257,163,317,299,476,493,326,602,514,326,355,350,338,0
429,410,187,186,399,205,443,371,443,334,231,299,315,450,366,609,518,462,219,238,304,0
330,341,568,407,529,388,727,572,376,428,357,357,255,207,248,122,204,334,235,272,119,1
268,143,298,83,244,219,355,376,431,344,730,478,536,398,370,213,271,329,375,272,332,2
327,131,289,317,355,313,169,153,114,215,170,380,508,631,539,589,351,604,321,490,298,0
164,168,365,157,238,197,198,505,426,380,530,459,408,391,290,259,246,285,153,324,221,1
470,474,84,175,120,353,366,290,573,316,568,416,532,368,579,424,475,300,214,205,229,2
269,70,218,310,258,150,122,6,12,365,351,437,494,525,662,553,602,541,567,372,206,2
405,109,418,164,252,129,369,369,504,285,641,543,467,544,512,249,81,235,271,290,329,2
271,202,101,238,209,340,517,339,561,528,535,598,599,614,276,138,226,249,257,294,207,1
92,222,346,392,484,515,547,316,352,297,212,193,353,437,500,452,570,342,173,258,260,0
355,252,225,325,378,372,689,408,473,479,571,461,306,468,341,298,221,19,163,304,264,1
334,218,191,293,343,191,203,238,170,275,176,279,425,547,840,605,599,368,468,372,322,2
250,436,480,501,566,457,620,566,541,286,180,240,317,283,227,246,520,193,361,456,105,0
458,282,371,264,229,249,208,392,353,195,557,489,425,767,613,733,491,339,393,231,245,2
414,282,388,328,318,239,504,495,647,453,561,383,537,386,274,35,149,166,94,171,353,1
312,264,324,248,141,194,272,408,579,606,574,621,396,326,305,291,343,161,147,3,288,1
292,276,250,318,146,257,160,101,162,183,193,201,495,638,793,573,681,624,501,329,329,0
281,286,396,335,484,499,629,519,428,176,213,165,293,284,117,350,290,226,151,306,299,0
122,179,78,63,61,153,105,168,255,187,266,368,523,791,644,664,459,437,455,390,287,2
314,415,244,230,305,395,393,444,602,454,512,455,466,729,370,308,342,166,323,257,335,2
99,244,395,277,504,549,321,431,332,249,328,291,464,546,564,433,452,552,354,215,242,0
73,335,391,429,406,546,415,526,512,469,531,461,333,461,313,297,330,140,198,70,399,1
350,322,456,476,569,624,784,603,552,360,188,141,38,156,19,195,188,392,155,292,274,1
204,287,321,351,223,287,352,32,279,80,145,226,460,728,652,702,364,486,418,185,81,0
291,356,258,399,136,267,220,320,82,203,307,274,676,690,718,566,601,625,427,235,267,2
287,255,402,446,304,374,453,500,374,366,160,9,292,264,301,388,414,369,301,121,222,0
184,222,459,638,558,607,622,670,564,223,276,234,119,191,214,196,204,100,163,107,445,1
420,358,200,130,131,158,267,376,231,286,155,288,488,649,664,656,429,359,294,284,186,0
414,433,216,266,226,300,418,482,476,694,696,380,557,162,246,383,287,220,219,437,409,1
309,427,151,364,426,527,507,528,524,296,287,473,267,331,177,179,243,292,241,72,299,1
279,255,212,290,424,415,565,267,486,480,553,375,532,426,428,292,137,227,310,272,202,1
344,333,484,470,587,660,540,612,505,229,228,163,232,300,226,128,223,108,327,98,197,1
318,137,358,236,352,289,279,339,332,320,312,323,426,643,756,529,478,381,447,450,341,0
422,289,403,284,20,216,185,212,163,128,93,440,492,589,809,661,602,445,538,477,268,2
296,230,108,182,374,141,114,19,6,362,256,449,525,672,704,638,595,412,441,319,289,0
84,349,354,291,380,373,626,494,490,328,247,487,227,283,106,275,226,148,81,351,185,1
441,161,369,444,260,607,561,599,523,548,437,308,459,405,398,126,303,213,288,218,288,1
385,158,323,527,394,523,544,371,487,304,255,187,248,311,261,218,258,231,235,195,211,1
304,211,352,253,172,226,176,117,345,497,250,442,606,614,672,438,366,525,414,386,372,2
129,239,377,264,223,217,279,501,278,367,250,697,506,383,484,514,250,460,562,395,231,2
230,88,336,97,248,340,233,479,514,507,569,460,490,455,373,282,243,394,253,258,349,2
166,247,547,456,404,608,702,742,530,389,178,282,343,190,119,143,352,62,153,314,278,1
197,298,448,356,461,449,547,432,684,370,511,417,232,239,403,85,209,170,192,338,89,1
488,220,516,419,526,503,611,615,547,514,413,227,603,271,406,323,177,129,272,82,286,1
215,159,566,481,446,523,447,626,632,548,555,286,459,225,165,398,276,69,114,216,215,1
253,421,267,232,436,548,601,351,524,51,101,249,313,556,417,500,614,385,373,91,440,0
96,378,479,654,597,489,634,475,454,391,9,22,315,348,99,228,317,261,178,302,163,0
364,219,284,356,230,136,417,308,457,482,416,692,400,506,351,317,260,252,296,192,156,2
292,377,325,370,549,443,621,548,546,298,69,259,35,369,207,253,433,366,298,333,177,0
36,203,455,374,326,709,649,683,452,165,144,164,90,260,214,219,219,272,36,211,38,0
260,298,182,107,240,157,196,290,280,302,377,500,535,428,476,677,561,498,236,416,313,2
99,192,141,110,334,15,314,47,107,202,211,333,501,555,813,692,476,603,530,292,223,0
322,53,573,376,529,490,377,574,298,459,227,83,272,330,358,300,309,339,354,160,58,0
305,126,217,316,477,186,455,458,561,554,575,524,383,208,352,160,405,113,173,313,464,1
281,83,314,178,565,329,330,410,575,463,465,558,624,468,299,239,207,247,251,312,340,1
445,450,401,618,624,632,596,520,673,462,434,251,59,91,90,117,84,307,382,40,112,1
191,368,341,559,374,408,638,530,480,442,390,461,410,232,288,253,173,296,225,213,94,1
236,259,452,510,623,726,735,327,610,396,159,305,69,320,36,202,281,162,396,370,306,0
421,270,303,314,367,366,396,511,535,379,499,456,451,358,422,295,249,127,284,364,138,1
355,198,163,71,326,155,250,40,238,109,358,437,509,765,684,693,461,620,435,464,247,2
295,94,268,287,357,320,434,312,621,589,638,411,417,430,310,169,360,368,327,236,335,2
236,56,232,84,276,247,297,497,483,498,547,484,515,336,592,417,157,362,247,185,204,2
144,405,379,451,489,647,793,654,506,357,150,187,49,208,139,262,96,428,276,399,339,1
248,226,242,150,334,307,255,200,537,506,531,466,646,477,417,320,208,284,133,271,397,2
382,197,523,600,530,439,565,574,717,393,300,307,141,326,112,263,482,472,216,95,417,0
290,276,320,231,238,320,290,452,288,424,321,467,524,717,511,542,415,377,343,106,110,2
167,380,267,564,707,804,524,662,612,378,339,183,103,153,54,276,368,390,296,261,95,0
330,261,374,483,654,533,466,632,431,427,344,323,195,353,286,297,241,321,237,296,450,1
168,384,500,442,684,602,747,329,481,515,312,326,437,367,117,242,100,317,82,304,315,1
290,234,134,226,160,87,185,218,15,105,165,366,505,528,740,682,508,427,467,302,43,2
351,337,335,389,260,458,398,582,432,474,406,511,465,341,287,160,389,260,281,190,176,1
255,309,241,350,419,627,646,376,563,413,285,218,241,83,3,215,131,377,225,77,280,1
498,282,294,127,150,550,447,438,297,472,576,557,727,418,388,227,192,251,198,181,363,2
42,255,190,94,275,356,356,285,557,472,359,587,417,465,431,375,462,275,358,294,204,2
156,229,260,396,284,349,460,550,480,609,432,286,538,331,281,112,273,111,198,335,260,1
12,308,433,245,322,219,257,230,238,219,211,323,407,482,805,443,538,507,442,319,329,0
143,250,375,327,323,466,508,643,481,435,559,438,220,156,393,266,210,93,143,100,373,1
161,189,492,307,630,348,590,498,158,281,331,307,287,142,233,454,305,340,254,564,279,0
406,206,172,326,293,493,376,533,751,491,549,528,496,354,366,251,183,453,76,182,254,1
104,240,207,347,36,392,264,346,265,290,419,343,550,469,644,460,513,562,402,230,216,2
300,467,321,242,415,532,420,460,244,107,201,74,390,257,572,259,394,388,385,353,374,0
135,236,229,190,297,334,600,665,394,548,490,612,278,221,307,228,247,98,431,116,170,1
324,205,393,43,237,138,53,189,107,221,359,252,495,781,707,759,550,540,439,395,256,2
331,264,312,434,303,509,548,310,411,338,228,482,248,221,578,431,285,263,315,196,187,0
281,230,318,248,628,711,693,620,287,377,295,113,292,6,125,387,378,253,344,120,395,0
45,146,394,557,581,609,710,681,440,666,388,274,40,199,336,275,346,340,451,283,471,1
342,80,426,155,272,243,263,62,296,346,276,450,651,624,860,276,433,478,535,300,325,2
440,191,229,400,441,358,532,534,602,465,159,326,348,401,20,212,294,280,279,182,242,1
179,339,361,339,495,495,494,308,254,158,245,404,489,511,579,402,329,315,330,284,390,0
349,270,420,232,576,669,672,759,360,192,256,238,128,77,160,305,333,415,279,327,477,0
415,315,262,447,556,280,399,473,340,69,353,30,376,471,428,453,452,326,384,320,362,0
316,118,434,294,234,294,216,321,364,271,420,394,446,553,512,538,480,317,340,267,344,2
300,438,452,577,577,733,648,660,439,288,393,88,200,296,179,210,377,248,374,297,300,0
383,324,203,346,190,147,210,185,411,262,409,355,442,709,494,352,448,383,246,356,323,2
254,80,192,264,180,184,76,13,106,7,105,440,454,734,738,790,540,522,466,250,493,2
441,278,239,113,158,395,277,453,476,472,461,375,471,404,449,348,307,300,309,17,147,1
421,112,518,650,586,666,866,663,404,414,320,269,335,213,106,315,133,111,233,218,144,1
226,226,136,65,174,200,213,338,190,372,470,529,423,485,425,367,379,552,278,318,198,2
150,479,162,269,330,389,627,475,488,538,394,415,395,494,199,296,312,317,268,301,352,1
172,335,536,447,635,711,663,560,734,430,262,18,63,11,169,278,162,203,186,278,256,1
429,187,449,375,668,784,560,470,649,343,240,178,308,401,203,112,236,292,240,261,270,1
144,452,377,526,507,519,579,458,296,308,222,48,146,196,292,240,203,310,308,167,366,0
239,304,460,462,541,744,692,621,525,343,252,119,190,215,63,107,312,176,87,232,153,1
281,359,314,527,660,480,600,593,565,307,111,231,182,211,16,65,214,320,231,155,105,0
264,314,195,392,628,532,272,312,168,246,91,208,378,460,637,426,432,341,385,348,232,0
236,238,470,333,630,351,245,198,154,290,263,98,550,447,561,342,632,384,347,403,187,0
63,152,112,152,59,157,264,577,658,528,334,539,401,371,379,299,301,225,288,254,265,2
255,64,141,346,387,202,247,173,34,201,12,443,518,735,759,639,690,471,355,290,481,0
48,369,264,175,324,288,259,393,253,413,396,379,617,353,462,335,436,465,56,456,434,2
127,278,219,329,214,149,272,167,250,73,508,275,585,554,746,717,388,559,283,382,261,2
396,372,258,430,597,544,586,635,555,482,569,437,410,449,363,336,302,380,307,84,390,1
109,179,311,458,409,180,501,108,232,279,176,242,439,474,383,631,473,468,342,343,421,0
162,367,486,456,451,438,473,396,583,545,459,436,450,375,260,268,412,357,423,163,258,1
267,111,296,301,308,384,415,600,491,445,383,475,455,456,449,230,325,251,309,159,262,1
301,458,419,620,502,680,666,657,537,332,216,99,133,168,165,92,211,103,285,272,204,1
271,326,409,327,436,396,481,396,370,343,158,321,179,287,515,426,437,298,435,348,163,0
267,133,251,459,237,458,497,447,627,672,390,280,334,246,359,167,245,217,101,319,253,1
391,210,230,425,479,513,686,621,498,475,469,70,121,116,127,176,7,192,77,316,356,1
258,162,198,380,357,235,467,468,611,527,558,451,409,404,225,309,263,146,113,68,292,1
433,248,162,141,125,219,223,418,557,325,372,616,404,695,431,390,234,182,203,369,327,2
111,12,200,206,290,325,340,297,607,667,627,327,601,612,504,366,362,321,313,302,209,2
166,123,350,87,176,283,382,558,434,500,585,447,579,331,562,235,465,312,95,331,166,1
128,105,549,510,479,636,667,551,401,307,367,118,220,238,163,180,194,300,207,83,415,0
169,360,102,68,252,175,316,102,173,193,411,640,556,520,816,699,395,425,189,478,333,2
239,136,352,178,522,554,492,481,428,450,337,413,323,270,272,237,216,218,175,408,353,1
258,377,247,330,251,549,508,618,547,333,458,304,502,459,489,310,172,194,387,338,206,1
87,423,250,458,251,407,550,433,455,563,513,378,377,350,466,156,255,334,138,444,404,1
341,293,333,571,453,683,339,350,603,587,420,395,392,221,284,149,324,366,238,365,151,1
219,275,147,143,231,178,214,85,247,214,118,267,746,645,621,729,539,502,342,436,340,2
410,184,254,248,365,244,350,70,412,380,46,427,433,615,726,537,368,458,551,289,197,0
184,256,308,100,245,186,78,285,254,250,157,514,524,610,547,521,475,343,383,77,370,2
268,387,402,410,354,398,274,107,474,185,259,287,340,482,707,688,558,512,468,338,307,0
440,206,154,279,219,253,453,353,551,485,558,333,665,402,464,237,330,240,319,281,438,2
62,301,243,248,275,245,491,374,650,554,704,334,605,392,359,623,306,225,274,543,198,2
118,218,278,408,156,180,402,143,393,200,355,600,595,543,416,605,385,387,345,429,197,2
204,333,426,325,346,606,606,467,605,278,141,237,275,216,159,56,356,418,194,226,237,0
408,435,592,444,751,650,708,707,552,501,405,212,359,64,302,31,334,130,159,124,377,1
165,338,321,199,75,46,329,178,404,311,318,315,528,545,865,596,570,376,392,380,282,0
165,395,152,387,190,155,261,289,151,118,490,391,482,797,526,585,573,458,241,406,492,2
376,257,120,438,60,375,443,557,483,669,540,360,420,524,377,244,116,73,215,320,250,1
307,106,396,358,358,355,261,312,267,319,120,296,397,668,824,624,529,350,453,395,354,0
378,204,235,140,202,171,58,203,310,398,425,290,529,743,623,489,414,367,335,514,130,2
282,359,360,314,270,623,526,481,612,431,280,582,341,417,148,236,67,366,177,256,217,1
419,243,488,486,501,637,646,564,431,442,411,157,187,145,319,286,95,317,102,211,305,1
281,271,382,378,406,499,554,330,414,166,318,220,186,426,414,303,448,386,387,233,192,0
67,256,150,120,158,132,130,212,384,332,366,460,540,421,789,478,561,253,216,384,408,2
351,246,149,517,550,665,445,497,247,221,220,195,211,392,372,414,399,348,506,190,306,0
469,351,131,336,106,152,264,376,251,123,326,185,451,665,814,593,546,445,356,534,195,2
410,425,190,347,471,419,843,424,404,175,400,371,431,466,406,463,414,394,215,332,78,0
314,272,392,427,147,487,423,384,689,467,426,329,409,514,386,147,184,177,219,272,262,1
391,434,297,523,665,472,562,392,416,241,116,215,251,370,422,409,328,434,52,346,227,0
482,348,384,451,656,552,763,555,448,392,370,237,227,169,227,205,458,208,103,111,267,1
230,190,191,170,138,268,224,377,290,397,397,405,649,628,607,634,478,240,129,194,408,2
395,353,255,443,456,674,561,493,345,163,295,357,245,403,423,543,559,468,284,478,312,0
48,290,202,66,284,90,373,535,445,621,553,472,647,300,531,389,158,376,187,208,232,2
306,266,449,414,569,574,511,515,310,251,87,65,324,384,389,319,416,364,250,371,161,0
339,341,337,648,555,631,695,588,593,456,285,152,7,115,346,331,291,11,305,233,260,1
117,263,177,423,364,420,354,436,632,266,701,472,256,456,186,404,222,288,103,194,222,1
274,400,350,564,433,579,603,488,256,210,239,0,206,200,254,326,339,311,323,317,212,0
299,245,264,301,233,592,486,650,566,543,396,427,213,295,214,275,6,157,478,269,30,1
246,229,370,305,564,262,541,559,498,657,557,274,359,251,567,250,67,315,257,334,371,1
167,231,118,349,208,194,129,179,203,113,101,286,485,616,728,604,712,601,495,422,350,0
363,222,365,372,212,587,568,536,578,397,353,264,213,164,215,182,358,412,137,263,224,1
335,124,212,191,140,190,213,274,150,236,330,676,576,548,732,488,360,362,444,105,360,2
216,340,203,128,373,238,330,323,290,371,315,477,683,576,673,393,628,404,230,188,351,2
266,189,211,496,558,428,737,667,586,521,258,61,17,170,21,84,289,188,179,284,340,1
310,341,276,399,300,398,260,209,322,181,149,216,284,540,582,489,606,366,252,166,365,0
345,322,220,371,405,493,654,365,400,262,249,193,293,446,265,401,344,363,330,150,37,0
210,154,188,310,407,261,236,278,177,291,204,340,451,621,487,623,681,381,290,147,192,0
215,274,301,340,265,277,497,333,375,460,574,387,352,202,278,229,283,332,70,50,136,1
272,313,158,105,321,518,443,529,464,472,602,548,454,314,270,496,208,475,333,296,59,1
283,250,428,287,465,453,667,420,360,346,425,151,114,282,222,431,123,312,423,349,294,0
165,250,446,480,709,709,585,602,707,303,159,195,311,315,135,223,424,237,307,456,303,1
322,421,184,416,261,146,239,355,76,119,150,216,587,658,649,687,531,669,532,328,344,0
315,249,304,398,516,536,436,490,500,339,475,368,189,285,92,371,261,210,243,326,223,1
143,118,325,286,749,581,822,612,551,370,259,319,124,251,229,286,340,345,328,249,476,1
201,196,308,284,332,315,284,294,317,236,64,173,302,456,481,538,488,582,387,339,347,0
271,252,302,399,447,222,531,503,430,281,116,323,478,255,466,367,555,349,250,416,523,0
264,532,575,443,465,488,749,439,457,210,243,73,194,485,247,139,146,78,125,58,242,0
277,251,225,128,255,267,348,486,347,513,766,367,460,512,323,159,276,467,433,104,426,2
310,416,375,231,354,156,377,351,423,446,604,380,266,310,510,371,105,250,94,208,410,1
232,221,250,379,293,251,387,358,267,171,339,525,239,491,610,519,452,274,339,190,128,0
268,271,309,306,158,169,349,280,362,639,529,366,357,440,274,418,153,319,243,157,292,2
251,299,407,333,617,725,860,641,713,345,531,161,341,335,134,287,400,210,347,254,127,1
291,169,257,319,263,493,356,233,335,148,127,138,458,496,462,521,553,331,304,139,420,0
277,203,394,422,181,493,476,497,496,207,169,225,397,362,478,324,452,381,378,249,293,0
109,31,330,197,117,280,313,420,560,241,386,569,614,561,496,754,299,232,186,187,234,2
249,191,116,275,235,138,141,232,490,352,435,505,500,529,550,520,418,277,348,337,150,2
137,272,345,512,479,509,714,571,422,498,215,286,233,328,495,465,326,292,259,152,364,0
172,280,108,169,85,176,485,420,438,538,517,639,538,355,419,496,345,273,240,226,233,2
368,375,150,414,670,361,687,714,443,502,436,424,390,506,117,16,465,179,290,171,288,1
298,262,87,251,178,295,393,271,210,259,498,407,525,511,719,806,548,514,530,424,306,2
295,531,312,502,556,610,795,442,464,199,99,229,163,238,263,287,346,403,170,418,329,0
466,302,200,290,391,476,842,634,744,321,277,376,152,140,258,184,513,286,221,305,195,1
161,384,436,302,333,284,288,600,629,632,611,388,323,292,408,187,211,336,170,251,307,1
341,295,308,7,108,94,351,429,443,436,665,645,661,511,365,330,297,306,327,248,282,2
288,362,260,309,281,215,154,312,83,154,286,299,487,636,694,587,502,546,525,374,385,0
224,401,533,433,623,556,638,770,398,439,149,169,37,213,290,31,241,243,257,179,95,1
209,173,308,294,306,168,157,31,42,54,221,214,475,744,784,604,553,564,396,433,402,0
311,290,305,326,378,409,462,416,335,247,268,115,584,426,582,561,338,367,206,489,157,0
286,320,299,479,513,504,548,500,376,355,103,320,372,268,659,411,236,249,275,261,376,0
400,281,340,513,479,574,327,364,396,294,189,133,332,77,441,422,263,384,400,416,165,0
358,65,337,294,211,513,231,351,397,489,307,290,567,368,457,486,471,474,401,239,404,2
337,294,379,332,447,524,593,433,701,589,647,468,171,169,355,291,342,207,375,390,221,1
127,419,247,195,299,337,624,576,464,457,636,562,576,536,268,353,168,82,306,116,297,1
245,315,453,133,99,172,177,340,307,200,603,546,406,484,301,242,113,352,220,103,150,2
207,347,199,440,147,618,542,543,479,465,607,532,261,221,179,200,137,351,218,251,201,1
226,171,244,138,3,155,247,330,392,471,476,571,406,515,560,472,359,472,459,244,193,2
289,284,422,215,329,228,270,65,61,311,160,255,643,753,661,615,551,584,356,461,208,0
454,71,571,166,317,335,382,484,646,511,586,472,425,684,341,368,190,190,276,314,368,1
320,301,243,345,482,357,218,189,123,248,185,240,413,379,651,561,536,403,321,470,270,0
266,170,211,447,197,116,120,219,25,184,164,405,620,764,620,525,572,294,484,362,92,2
111,319,402,457,562,400,625,406,500,241,237,247,333,386,537,363,420,221,345,403,248,0
269,112,413,305,274,339,335,470,572,357,610,513,434,336,462,354,237,310,281,326,338,1
24,295,331,436,195,790,600,491,455,424,626,594,397,447,332,494,213,202,60,228,328,1
104,285,308,351,525,763,525,584,626,461,383,187,347,232,303,290,183,217,170,359,294,1
199,326,461,490,724,701,852,647,648,194,150,3,171,342,306,373,485,302,211,394,446,0
320,415,288,95,216,339,318,338,462,653,632,470,455,418,381,427,412,204,342,334,292,2
205,362,597,630,523,574,856,691,562,211,180,191,40,86,306,371,364,170,326,34,232,0
295,219,240,284,196,411,225,256,290,241,124,415,478,360,527,477,421,415,219,561,176,0
179,237,110,278,317,287,331,471,609,389,740,605,442,320,312,411,224,84,174,324,85,1
387,156,359,305,258,263,628,368,479,480,385,316,686,637,398,454,136,206,400,298,480,2
129,14,201,63,263,21,265,445,465,642,477,418,586,511,282,260,180,126,245,70,462,1
180,160,184,241,230,62,251,342,531,683,673,662,506,445,427,471,267,218,148,264,382,2
194,154,120,288,247,208,270,180,267,225,470,208,405,593,696,561,577,462,340,274,213,0
236,198,218,226,115,112,438,255,240,161,451,468,557,414,563,406,229,308,128,311,266,2
28,68,183,422,81,180,482,266,758,598,505,627,697,627,353,313,211,189,211,151,246,2
202,158,395,386,419,477,345,520,503,654,705,627,418,566,443,223,153,219,318,321,375,1
370,406,158,246,395,458,358,289,182,321,115,251,308,523,563,416,361,296,222,241,439,0
394,277,381,428,640,729,768,711,486,510,281,307,73,227,179,6,162,94,342,256,340,0
181,262,233,193,261,410,163,503,481,671,624,360,509,385,338,371,128,176,132,288,176,1
364,299,300,274,313,279,271,542,543,682,682,487,400,541,365,137,179,129,208,348,393,1
336,150,353,324,356,348,447,609,493,243,184,315,339,144,359,301,547,366,308,249,294,0
150,195,288,207,157,165,402,397,346,372,332,532,477,460,341,328,201,310,84,195,320,2
256,296,309,202,283,168,349,301,280,278,518,421,442,541,577,315,458,329,150,360,187,2
262,307,353,265,477,384,610,380,292,305,261,322,40,373,415,235,579,333,257,307,337,0
261,319,373,222,342,152,127,199,293,476,539,565,495,518,595,462,467,404,345,251,382,2
233,481,373,419,398,679,595,415,507,383,487,470,294,197,317,303,364,403,113,150,323,1
281,71,176,379,211,5,36,14,209,302,283,270,552,609,777,581,643,507,538,568,152,2
335,216,498,422,626,555,613,451,734,368,242,290,209,492,91,441,122,222,326,240,295,1
389,265,347,167,198,640,400,572,639,543,406,487,318,236,379,324,325,184,263,225,217,1
248,350,302,530,712,801,733,762,513,301,260,297,192,98,67,376,338,155,221,209,186,1
170,208,282,206,266,400,454,145,364,344,471,322,375,465,601,503,446,478,338,377,183,0
454,304,317,537,385,600,690,597,512,337,217,182,401,191,320,335,383,379,112,12,306,1
385,298,416,557,578,546,637,488,663,333,188,236,34,38,394,134,455,311,174,238,353,0
211,178,307,155,209,246,379,385,456,364,359,559,623,568,376,312,233,193,138,252,358,2
207,324,197,266,211,175,138,480,193,387,506,449,484,545,757,491,516,253,412,292,362,2
386,278,282,137,221,211,136,242,209,313,275,329,581,683,884,617,632,442,282,207,161,2
333,517,415,433,523,626,617,606,579,277,227,85,226,196,116,195,262,338,310,306,130,0
137,259,114,308,419,444,451,379,445,516,623,405,551,432,509,261,384,357,230,189,412,2
248,234,434,335,296,215,396,261,238,630,700,476,628,414,563,421,377,308,190,544,12,2
167,76,243,250,200,380,355,386,546,626,534,429,520,389,470,266,372,230,219,104,173,2
223,79,284,244,291,173,339,376,655,652,687,560,430,297,463,358,263,239,18,132,173,1
392,279,270,355,516,204,581,579,379,438,594,695,331,186,286,400,218,216,95,201,354,1
286,249,240,473,448,328,568,468,752,452,580,365,323,308,339,221,271,168,254,181,217,1
149,292,267,132,235,245,81,189,150,159,206,311,447,800,819,681,681,347,440,414,197,2
289,30,228,115,58,283,260,281,527,660,510,489,455,518,422,216,416,272,447,153,384,2
265,485,247,630,701,699,736,518,520,356,66,342,189,264,302,241,93,221,256,456,150,1
494,195,158,197,316,146,222,320,354,380,615,399,479,671,441,394,399,168,277,395,252,2
338,205,428,297,637,793,787,492,554,397,106,31,23,126,78,279,249,190,275,338,42,0
294,318,478,448,705,732,772,601,623,497,279,297,437,245,88,293,149,176,146,492,333,1
161,91,319,449,493,599,523,459,559,251,258,192,192,165,261,157,120,219,260,257,350,1
411,4,314,53,199,81,205,236,254,113,81,381,557,588,834,649,564,496,349,408,146,2
268,286,263,59,201,351,309,367,442,372,528,439,443,432,378,626,455,360,302,363,189,2
331,449,446,428,379,540,486,508,277,474,200,296,255,204,385,460,533,296,430,288,357,0
184,229,318,175,333,218,353,164,246,319,532,436,596,787,565,416,425,272,448,451,215,2
284,454,410,337,401,414,477,438,664,489,451,386,392,333,352,205,253,178,199,221,313,1
295,219,388,395,705,418,658,565,357,350,309,243,216,498,241,416,385,334,339,383,247,0
377,276,458,382,483,525,530,394,549,380,483,296,395,282,455,401,360,160,142,312,265,1
283,235,226,274,481,340,415,250,398,389,215,242,337,239,367,512,252,263,403,345,211,0
463,388,510,379,189,157,321,288,343,440,541,632,484,474,361,254,560,200,313,168,310,2
347,320,364,458,339,606,655,381,532,392,411,278,85,278,171,376,235,316,494,287,165,0
250,80,40,219,232,118,377,331,387,232,489,425,578,401,615,494,385,235,149,352,436,2
109,187,369,404,661,562,638,572,551,250,334,295,254,148,217,250,226,366,259,312,244,1
217,265,318,471,457,637,590,578,545,325,132,29,261,174,381,290,133,231,274,230,393,0
405,334,434,460,458,220,415,394,351,162,251,197,140,407,476,565,454,310,466,274,211,0
239,449,204,168,288,423,488,658,436,461,316,331,445,332,124,398,115,303,164,352,205,1
256,137,281,515,497,437,560,429,574,336,144,289,239,206,214,174,187,84,94,267,293,1
254,229,447,458,482,419,552,328,577,422,276,324,180,194,310,299,500,207,169,289,316,0
229,246,307,212,331,212,109,278,324,126,122,367,313,586,634,533,606,322,293,288,272,2
268,366,397,312,480,579,479,436,468,452,452,461,242,357,395,275,369,146,246,259,381,1
272,365,324,282,191,423,407,526,699,364,398,467,426,407,323,326,330,185,185,308,241,1
73,124,412,609,496,737,706,528,484,522,169,203,16,254,88,323,387,278,256,238,144,1
379,94,203,272,271,310,244,409,358,417,485,674,315,323,287,282,308,209,322,337,210,2
206,210,246,389,385,376,571,458,689,530,541,637,408,372,437,337,346,213,138,292,231,1
263,372,472,349,476,409,285,299,536,682,637,377,390,311,402,201,165,146,279,24,302,1
389,314,282,547,601,534,613,541,534,502,325,4,193,322,154,299,163,271,132,257,198,1
274,15,289,256,95,142,258,359,366,250,547,489,393,633,619,358,442,231,276,486,191,2
444,160,173,207,210,169,35,163,108,264,162,322,649,623,676,628,561,463,296,295,203,2
270,329,414,440,410,531,585,503,530,406,303,162,236,293,244,395,212,104,146,254,185,0
239,346,329,440,307,348,259,393,541,627,642,365,584,438,349,266,302,225,153,188,344,2
311,391,366,473,303,373,306,508,347,231,97,371,371,479,338,329,435,423,334,114,303,0
378,212,337,480,249,518,395,421,311,512,224,238,508,464,307,553,154,384,377,340,0,0
302,399,323,208,553,488,540,316,202,265,291,237,264,248,264,336,439,292,498,464,89,0
181,87,332,3,191,99,448,170,485,398,270,385,566,383,446,256,387,544,234,351,373,2
209,300,212,239,177,269,319,332,243,540,515,567,589,738,714,497,452,404,260,146,398,2
248,151,334,317,185,239,158,430,241,322,350,360,580,369,562,436,448,252,399,380,203,2
269,233,139,374,463,524,429,426,364,367,121,281,190,288,412,336,476,451,268,422,139,0
57,272,383,471,501,744,737,680,603,185,301,224,211,276,153,215,107,257,389,267,208,1
383,375,433,286,401,388,710,508,495,428,448,295,150,294,76,289,163,311,300,226,177,1
190,328,293,340,259,375,478,495,571,446,520,307,287,411,283,193,183,119,388,195,286,1
289,273,263,440,495,365,487,349,405,311,174,238,269,315,475,198,237,393,208,408,307,0
175,131,282,349,382,195,412,388,62,43,199,380,501,632,518,697,610,276,431,318,235,0
