X_Minimum,X_Maximum,Y_Minimum,Y_Maximum,Pixels_Areas,X_Perimeter,Y_Perimeter,Sum_of_Luminosity,Minimum_of_Luminosity,Maximum_of_Luminosity,Length_of_Conveyer,TypeOfSteel_A300,TypeOfSteel_A400,Steel_Plate_Thickness,Edges_Index,Empty_Index,Square_Index,Outside_X_Index,Edges_X_Index,Edges_Y_Index,Outside_Global_Index,LogOfAreas,Log_X_Index,Log_Y_Index,Orientation_Index,Luminosity_Index,SigmoidOfAreas,Pastry,Z_Scratch,K_Scatch,Stains,Dirtiness,Bumps,class
40,165,1237,1237,854,313,229,1847,28,56,34,0,1,0,143,697,693,313,143,166,2,848,114,144,461,974,387,0,0,1,0,0,0,0
40,172,1243,1243,818,322,224,1806,16,56,35,0,1,0,142,933,719,333,157,115,0,812,121,130,386,903,387,0,0,1,0,0,0,0
40,183,1249,1249,840,321,245,1829,24,55,35,0,1,0,142,1175,692,363,199,212,2,834,131,161,462,929,387,0,0,1,0,0,0,0
38,168,1257,1257,826,324,244,1813,22,56,35,0,1,0,131,1144,632,328,142,214,2,820,119,161,507,906,387,0,0,1,0,0,0,0
40,168,1287,1287,827,342,261,1817,27,55,35,0,1,0,142,1007,695,323,92,93,2,821,117,147,460,943,387,0,0,1,0,0,0,0
38,173,1294,1295,837,303,231,1825,18,56,34,0,1,0,132,1065,703,344,205,208,2,831,124,153,455,951,387,0,0,1,0,0,0,0
38,172,1297,1298,858,309,235,1848,26,56,35,0,1,0,131,934,680,339,185,210,2,852,123,157,471,926,387,0,0,1,0,0,0,0
38,170,1301,1302,836,316,252,1826,27,56,34,0,1,0,132,944,757,334,170,105,2,830,121,142,417,980,387,0,0,1,0,0,0,0
38,170,1305,1306,823,324,243,1811,26,56,35,0,1,0,131,1038,745,333,150,131,2,817,121,144,425,955,387,0,0,1,0,0,0,0
40,167,1308,1309,816,325,257,1803,24,56,34,0,1,0,143,1116,651,321,127,140,2,810,116,155,493,905,387,0,0,1,0,0,0,0
38,173,1313,1314,853,318,243,1843,26,58,35,0,1,0,131,1110,618,343,176,253,2,847,124,169,517,963,387,0,0,1,0,0,0,0
36,172,1317,1318,846,341,277,1834,22,56,35,0,1,0,122,1087,652,346,118,99,2,840,125,161,492,948,387,0,0,1,0,0,0,0
40,168,1321,1322,848,320,249,1837,28,56,34,0,1,0,143,824,713,324,145,114,2,842,117,144,449,990,387,0,0,1,0,0,0,0
38,171,1324,1325,831,340,265,1822,31,56,35,0,1,0,131,901,742,335,111,53,0,825,122,134,397,970,387,0,0,1,0,0,0,0
38,175,1326,1328,851,295,222,1842,28,56,34,0,1,0,132,747,712,349,228,140,0,845,126,134,383,986,387,0,0,1,0,0,0,0
40,310,1331,1332,812,298,240,1800,24,56,35,0,1,0,142,1328,509,436,520,260,0,806,166,170,260,922,387,0,0,1,0,0,0,0
40,163,1336,1337,806,294,216,1796,28,56,35,0,1,0,142,1093,734,308,187,175,2,800,113,137,432,920,387,0,0,1,0,0,0,0
40,171,1341,1342,813,327,259,1802,29,57,35,0,1,0,142,938,718,330,134,50,0,807,120,129,385,957,387,0,0,1,0,0,0,0
40,175,1349,1350,828,370,268,1815,31,56,34,0,1,0,143,1102,709,344,72,93,2,822,124,152,452,895,387,0,0,1,0,0,0,0
40,171,1354,1355,820,337,256,1805,31,55,35,0,1,0,142,1143,662,330,115,147,2,814,120,157,483,884,387,0,0,1,0,0,0,0
38,175,1420,1421,815,355,275,1801,27,55,34,0,1,0,132,1152,740,349,90,67,2,809,126,150,428,905,387,0,0,1,0,0,0,0
40,165,1426,1427,803,331,243,1790,29,55,35,0,1,0,142,1201,666,312,114,153,2,797,114,150,481,896,387,0,0,1,0,0,0,0
40,182,1435,1436,833,358,269,1823,33,55,35,0,1,0,142,1166,733,361,101,100,2,827,130,157,433,987,387,0,0,1,0,0,0,0
40,166,1458,1459,809,319,259,1798,30,55,35,0,1,0,142,1165,672,316,137,110,2,803,115,150,476,895,387,0,0,1,0,0,0,0
38,172,1463,1464,646,261,167,1629,25,52,35,0,1,0,131,997,469,339,400,162,0,646,123,74,237,563,387,0,0,1,0,0,0,0
40,167,1467,1468,634,196,107,1616,31,44,36,0,1,0,141,361,258,319,532,202,0,634,116,49,78,553,387,0,0,1,0,0,0,0
38,164,1473,1474,804,329,240,1791,32,56,34,0,1,0,132,1149,727,317,119,124,2,798,115,140,438,897,387,0,0,1,0,0,0,0
38,173,1477,1478,821,356,271,1809,35,57,36,0,1,0,131,1136,716,341,84,79,2,815,124,151,446,986,387,0,0,1,0,0,0,0
40,168,1483,1484,636,191,119,1621,30,44,35,0,1,0,142,549,336,323,567,195,0,636,117,55,131,577,387,0,0,1,0,0,0,0
38,172,1488,1489,656,177,114,1645,38,44,35,0,1,0,131,369,305,339,661,227,0,656,123,55,106,565,387,0,0,1,0,0,0,0
40,174,1500,1501,805,351,274,1792,32,56,35,0,1,0,142,1224,715,339,88,70,2,799,123,150,447,883,387,0,0,1,0,0,0,0
38,169,1506,1507,675,240,160,1678,39,52,36,0,1,0,131,859,478,329,422,208,0,675,120,75,243,633,387,0,0,1,0,0,0,0
38,164,1510,1511,651,222,146,1639,33,52,36,0,1,0,131,787,467,315,447,217,0,651,115,70,235,614,387,0,0,1,0,0,0,0
38,165,1515,1516,807,311,242,1793,30,55,36,0,1,0,131,1157,720,319,160,127,2,801,116,142,443,900,387,0,0,1,0,0,0,0
40,172,1518,1520,802,307,221,1789,31,56,36,0,1,0,141,1251,678,332,183,230,2,796,121,155,473,954,387,0,0,1,0,0,0,0
38,173,1523,1524,799,328,250,1787,32,56,35,0,1,0,131,1221,737,343,148,81,0,793,124,135,393,923,387,0,0,1,0,0,0,0
42,171,1525,1526,808,336,262,1797,33,55,35,0,1,0,155,1205,655,325,109,120,2,802,118,156,489,899,387,0,0,1,0,0,0,0
38,169,1539,1540,797,323,241,1784,29,56,34,0,1,0,132,1244,756,331,149,125,2,791,120,141,418,927,387,0,0,1,0,0,0,0
88,149,1542,1543,542,210,123,1534,108,56,35,0,1,0,335,1227,677,253,262,317,0,542,72,69,364,1305,387,0,0,1,0,0,0,0
40,177,1546,1547,650,196,127,1638,33,44,35,0,1,0,142,470,303,348,592,156,0,650,126,56,105,595,387,0,0,1,0,0,0,0
38,173,1550,1551,798,298,211,1786,38,56,35,0,1,0,131,1267,716,343,218,276,2,792,124,151,446,907,387,0,0,1,0,0,0,0
38,163,1553,1554,649,194,127,1640,34,52,34,0,1,0,132,840,478,313,536,326,0,649,114,72,243,644,387,0,0,1,0,0,0,0
40,163,1559,1560,642,148,88,3,113,51,35,0,1,0,142,252,319,308,732,362,0,642,113,52,116,0,387,0,0,1,0,0,0,0
40,159,1575,1576,628,185,122,1613,29,44,34,0,1,0,143,350,295,302,533,101,0,628,109,49,100,591,387,0,0,1,0,0,0,0
38,158,1578,1579,800,301,225,1788,26,56,34,0,1,0,132,1074,765,303,151,109,2,794,110,128,413,905,387,0,0,1,0,0,0,0
38,159,1582,1583,640,157,104,1625,37,44,34,0,1,0,132,389,391,304,686,299,0,640,111,56,178,556,387,0,0,1,0,0,0,0
38,157,1585,1586,659,265,174,1663,32,52,34,0,1,0,132,900,526,302,360,165,0,659,109,79,271,667,387,0,0,1,0,0,0,0
84,131,1588,1589,532,143,120,1529,110,55,34,0,1,0,322,1096,667,232,308,333,2,532,58,69,480,1327,387,0,0,1,0,0,0,0
70,134,1590,1591,564,269,183,1565,104,55,34,0,1,0,265,1255,603,255,144,241,2,564,73,96,525,1276,387,0,0,1,0,0,0,0
38,153,1594,1595,727,232,160,1737,32,52,34,0,1,0,132,810,554,296,399,296,0,722,106,85,292,605,387,0,0,1,0,0,0,0
38,151,1599,1600,795,291,215,1783,43,56,34,0,1,0,132,1140,684,292,153,170,2,789,104,134,468,858,387,0,0,1,0,0,0,0
38,156,1600,1601,793,291,216,1781,40,55,34,0,1,0,132,1246,643,300,172,223,2,787,108,147,498,772,387,0,0,1,0,0,0,0
38,155,1608,1609,644,189,115,1633,44,52,34,0,1,0,132,608,476,298,507,345,0,644,107,67,241,645,387,0,0,1,0,0,0,0
38,165,1613,1615,728,278,188,1759,46,56,34,0,1,0,132,887,522,321,338,108,0,723,116,82,268,731,387,0,0,1,0,0,0,0
38,170,22,22,635,204,147,1614,24,41,16,0,1,0,137,481,261,348,529,46,0,635,121,51,80,375,387,0,0,1,0,0,0,0
38,167,46,46,661,197,130,1643,29,50,16,0,1,0,137,925,482,338,539,341,0,661,118,76,244,509,387,0,0,1,0,0,0,0
38,160,68,68,626,204,112,1606,30,52,17,0,1,0,136,906,426,318,479,302,0,626,112,61,209,550,387,0,0,1,0,0,0,0
120,143,84,84,324,68,41,1309,105,52,16,0,1,0,430,854,473,197,454,197,0,324,37,18,239,1205,294,0,0,1,0,0,0,0
123,137,95,95,250,37,25,1212,105,52,18,0,1,0,436,851,562,150,653,441,0,250,26,18,295,1189,236,0,0,1,0,0,0,0
44,156,121,121,610,147,105,1593,39,44,17,0,1,0,174,436,326,296,675,200,0,610,102,48,122,470,387,0,0,1,0,0,0,0
42,162,137,137,601,140,86,1584,30,44,18,0,1,0,163,578,256,310,749,301,0,601,110,46,76,501,387,0,0,1,0,0,0,0
38,159,152,152,614,162,81,1597,29,44,17,0,1,0,136,514,274,314,649,364,0,614,111,48,86,488,387,0,0,1,0,0,0,0
42,164,176,176,623,178,111,1604,29,43,17,0,1,0,164,573,311,318,594,196,0,623,112,51,110,482,387,0,0,1,0,0,0,0
98,139,191,191,557,217,162,1553,106,55,17,0,1,0,376,1204,494,227,113,400,2,557,55,103,605,1280,387,0,0,1,0,0,0,0
48,159,200,200,600,185,102,1583,20,52,18,0,1,0,187,896,441,293,485,336,0,600,101,58,221,505,387,0,0,1,0,0,0,0
128,136,214,214,87,29,20,646,108,52,18,0,1,0,448,644,311,116,644,89,0,87,20,7,110,1211,84,0,0,1,0,0,0,0
44,156,232,232,612,161,95,1595,28,49,17,0,1,0,174,627,403,296,599,328,0,612,102,53,188,532,387,0,0,1,0,0,0,0
40,161,241,242,613,173,112,1599,33,43,17,0,1,0,150,567,288,314,608,159,0,613,111,49,95,572,387,0,0,1,0,0,0,0
36,159,251,251,627,180,103,1607,31,44,17,0,1,0,127,390,256,322,586,199,0,627,113,47,76,539,387,0,0,1,0,0,0,0
57,159,286,286,580,130,83,1560,33,42,17,0,1,0,226,606,365,280,711,329,0,580,91,46,158,440,387,0,0,1,0,0,0,0
49,153,292,293,589,147,94,1573,36,42,18,0,1,0,194,552,379,282,627,266,0,589,94,48,167,495,387,0,0,1,0,0,0,0
46,152,303,303,590,151,85,1576,34,44,16,0,1,0,181,478,332,286,616,314,0,590,96,46,127,483,387,0,0,1,0,0,0,0
45,160,313,313,594,160,99,1579,31,43,18,0,1,0,175,741,339,299,621,256,0,594,105,50,134,450,387,0,0,1,0,0,0,0
50,152,323,323,593,154,92,1577,28,43,18,0,1,0,199,400,357,281,578,256,0,593,92,46,151,470,387,0,0,1,0,0,0,0
40,162,338,338,603,149,91,1581,29,41,18,0,1,0,149,602,255,317,723,259,0,603,112,46,75,453,387,0,0,1,0,0,0,0
54,151,349,349,576,132,85,1559,41,42,18,0,1,0,212,551,392,277,652,314,0,576,89,46,179,493,387,0,0,1,0,0,0,0
49,150,357,357,592,143,87,1575,37,41,17,0,1,0,195,403,365,280,624,292,0,592,91,46,158,456,387,0,0,1,0,0,0,0
53,152,363,363,585,132,80,1566,36,43,17,0,1,0,210,492,378,278,668,347,0,585,90,46,166,433,387,0,0,1,0,0,0,0
38,150,368,368,611,145,88,1592,31,43,17,0,1,0,136,361,290,297,694,285,0,611,103,46,97,451,387,0,0,1,0,0,0,0
48,159,382,382,591,131,76,1574,34,42,17,0,1,0,188,509,286,294,744,363,0,591,101,45,93,460,387,0,0,1,0,0,0,0
40,162,388,388,619,146,105,1600,36,43,17,0,1,0,150,479,264,318,736,200,0,619,112,48,81,489,387,0,0,1,0,0,0,0
42,154,395,395,607,146,94,1590,41,43,17,0,1,0,164,555,350,297,685,298,0,607,103,50,144,494,387,0,0,1,0,0,0,0
46,155,408,408,605,134,96,1585,32,43,18,0,1,0,180,410,328,289,717,235,0,605,99,47,124,464,387,0,0,1,0,0,0,0
41,158,414,414,606,158,99,1588,32,42,17,0,1,0,159,445,256,305,660,193,0,606,107,45,76,480,387,0,0,1,0,0,0,0
40,160,424,424,624,158,99,1603,38,42,18,0,1,0,149,539,321,310,676,264,0,624,110,51,118,463,387,0,0,1,0,0,0,0
38,153,434,434,602,134,86,1582,36,42,17,0,1,0,136,542,289,302,748,322,0,602,106,47,96,478,387,0,0,1,0,0,0,0
38,163,444,444,637,160,89,1620,40,43,17,0,1,0,136,398,309,327,681,355,0,637,114,52,108,512,387,0,0,1,0,0,0,0
40,176,455,455,726,163,107,1709,45,44,17,0,1,0,150,462,410,357,722,365,0,721,125,64,194,449,387,0,0,1,0,0,0,0
38,174,463,463,704,173,118,1695,46,41,15,0,1,0,138,508,410,360,687,293,0,703,125,64,194,519,387,0,0,1,0,0,0,0
40,172,470,470,695,187,131,1684,42,51,16,0,1,0,151,761,468,348,601,313,0,695,121,73,236,520,387,0,0,1,0,0,0,0
40,168,476,476,706,206,124,1691,39,50,15,0,1,0,152,770,486,336,502,366,0,705,117,76,245,487,387,0,0,1,0,0,0,0
115,138,487,487,210,49,30,1139,106,52,16,0,1,0,418,1217,417,193,682,277,0,210,36,15,201,1186,254,0,0,1,0,0,0,0
38,172,502,501,670,174,107,1653,38,43,16,0,1,0,137,500,389,352,673,339,0,670,123,61,176,495,387,0,0,1,0,0,0,0
40,168,514,514,656,179,115,1637,36,43,15,0,1,0,152,393,383,336,623,252,0,656,117,58,170,472,387,0,0,1,0,0,0,0
38,171,521,521,669,168,113,1649,33,43,15,0,1,0,138,343,323,351,692,240,0,669,122,56,120,484,387,0,0,1,0,0,0,0
121,144,529,529,189,38,22,1093,105,51,15,0,1,0,433,1171,256,198,811,340,0,189,37,12,76,1185,226,0,0,1,0,0,0,0
120,141,532,532,182,48,29,1077,104,51,16,0,1,0,430,1203,340,188,678,216,0,182,35,13,135,1180,230,0,0,1,0,0,0,0
38,173,540,540,678,155,114,1662,34,42,15,0,1,0,138,430,355,356,755,262,0,678,124,59,149,467,387,0,0,1,0,0,0,0
40,174,556,556,685,172,132,1670,30,43,16,0,1,0,151,451,389,352,680,188,0,685,123,61,176,466,387,0,0,1,0,0,0,0
38,174,564,564,693,162,115,1676,36,42,16,0,1,0,137,469,390,358,730,294,0,693,125,62,177,469,387,0,0,1,0,0,0,0
38,173,571,571,662,165,103,1644,32,41,16,0,1,0,137,550,386,355,714,358,0,662,124,61,173,476,387,0,0,1,0,0,0,0
38,168,574,574,673,170,113,1660,36,43,15,0,1,0,138,374,386,344,667,272,0,673,119,59,173,494,387,0,0,1,0,0,0,0
40,176,582,582,711,159,106,1698,34,42,16,0,1,0,151,488,410,358,746,371,0,709,125,64,194,473,387,0,0,1,0,0,0,0
40,176,589,589,680,163,108,1665,36,42,17,0,1,0,150,393,336,357,722,289,0,680,125,58,131,465,387,0,0,1,0,0,0,0
38,172,599,599,716,179,119,1686,38,41,15,0,1,0,138,554,434,353,651,325,0,713,123,67,216,424,387,0,0,1,0,0,0,0
42,176,628,628,705,168,113,1683,29,41,16,0,1,0,165,300,343,352,698,257,0,704,123,58,138,458,387,0,0,1,0,0,0,0
42,178,634,634,686,169,123,1668,36,42,16,0,1,0,165,528,401,358,705,253,0,686,125,63,186,449,387,0,0,1,0,0,0,0
38,171,645,645,691,149,109,1677,40,44,16,0,1,0,137,569,429,350,759,367,0,691,122,66,212,503,387,0,0,1,0,0,0,0
38,178,651,651,699,172,113,1679,35,44,15,0,1,0,138,507,369,365,710,311,0,699,127,62,161,444,387,0,0,1,0,0,0,0
91,150,660,660,555,190,162,1552,106,55,16,0,1,0,348,1212,691,254,290,250,2,555,70,80,463,1241,387,0,0,1,0,0,0,0
40,172,669,669,655,174,130,1632,31,43,16,0,1,0,151,685,424,348,663,236,0,655,121,65,207,450,387,0,0,1,0,0,0,0
93,144,687,687,547,223,158,1541,103,52,16,0,1,0,358,1163,661,240,179,219,2,547,63,76,484,1217,387,0,0,1,0,0,0,0
38,168,703,703,665,175,125,1641,40,41,16,0,1,0,137,417,386,342,645,209,0,665,119,59,173,427,387,0,0,1,0,0,0,0
99,149,775,775,537,181,136,1530,105,52,15,0,1,0,379,1206,658,239,261,304,2,537,62,75,487,1253,387,0,0,1,0,0,0,0
95,153,788,788,533,186,133,1528,106,55,15,0,1,0,365,1269,755,251,291,330,2,533,69,76,419,1247,387,0,0,1,0,0,0,0
40,180,793,793,679,177,124,1634,122,49,16,0,1,0,151,543,356,364,695,228,0,679,127,61,150,303,387,0,0,1,0,0,0,0
38,174,801,801,671,205,130,1651,31,44,16,0,1,0,137,492,366,358,550,186,0,671,125,60,159,467,387,0,0,1,0,0,0,0
88,150,805,805,545,260,172,1539,105,52,16,0,1,0,339,1287,717,257,173,206,2,545,73,81,445,1236,387,0,0,1,0,0,0,0
40,191,1087,1087,725,212,123,1708,32,41,16,0,1,0,151,715,345,396,605,270,0,720,138,65,139,465,387,0,0,1,0,0,0,0
40,191,1091,1091,730,190,120,1714,29,41,16,0,1,0,151,764,373,396,689,321,0,725,138,67,163,441,387,0,0,1,0,0,0,0
38,186,1096,1096,767,197,122,1751,28,42,15,0,1,0,138,635,389,386,642,298,0,762,135,67,176,435,387,0,0,1,0,0,0,0
40,187,1103,1103,717,217,147,1705,36,42,16,0,1,0,151,579,330,380,571,133,0,713,134,62,125,504,387,0,0,1,0,0,0,0
38,187,1110,1110,729,188,119,1710,30,36,15,0,1,0,138,775,393,389,684,332,0,724,136,68,180,432,387,0,0,1,0,0,0,0
40,195,1119,1119,785,226,150,1769,27,42,16,0,1,0,151,575,341,408,573,157,0,779,142,66,136,437,387,0,0,1,0,0,0,0
40,188,1126,1126,723,271,168,1703,32,44,16,0,1,0,151,613,337,385,406,74,0,718,135,63,132,445,387,0,0,1,0,0,0,0
38,195,1130,1130,788,222,135,1776,31,36,15,0,1,0,138,594,358,414,597,244,0,782,144,68,152,429,387,0,0,1,0,0,0,0
40,189,1133,1133,742,258,139,1725,29,44,15,0,1,0,152,677,370,389,441,213,0,737,136,66,162,451,387,0,0,1,0,0,0,0
38,196,1140,1140,783,236,159,1773,34,43,16,0,1,0,137,853,413,415,553,202,0,777,145,74,197,525,387,0,0,1,0,0,0,0
38,191,1145,1145,763,203,127,1747,32,50,15,0,1,0,138,637,338,403,643,254,0,758,140,65,133,430,387,0,0,1,0,0,0,0
104,167,1152,1152,529,199,122,1520,104,52,16,0,1,0,391,1298,758,258,292,377,0,529,74,77,405,1217,387,0,0,1,0,0,0,0
40,193,1161,1161,752,210,120,1735,27,42,16,0,1,0,151,706,349,402,617,306,0,747,140,66,143,443,387,0,0,1,0,0,0,0
36,190,1166,1166,703,243,147,1685,29,41,15,0,1,0,129,804,334,407,508,160,0,702,141,65,129,486,387,0,0,1,0,0,0,0
40,191,1171,1171,724,215,116,1706,28,42,16,0,1,0,151,682,335,396,595,315,0,719,138,64,130,453,387,0,0,1,0,0,0,0
40,189,1177,1177,682,216,137,1654,29,36,15,0,1,0,152,833,370,389,583,218,0,682,136,66,162,390,387,0,0,1,0,0,0,0
38,192,1187,1187,733,228,121,1722,37,43,16,0,1,0,137,793,360,405,559,305,0,728,141,67,154,491,387,0,0,1,0,0,0,0
40,193,1193,1193,710,231,148,1687,34,36,15,0,1,0,152,870,389,403,543,202,0,709,140,69,176,439,387,0,0,1,0,0,0,0
40,188,1199,1199,657,221,133,1635,34,41,15,0,1,0,152,739,298,386,563,172,0,657,135,60,103,457,387,0,0,1,0,0,0,0
40,190,1203,1203,702,212,122,1682,30,44,15,0,1,0,152,686,328,394,598,256,0,701,137,63,124,450,387,0,0,1,0,0,0,0
40,193,1208,1208,744,212,111,1726,34,42,15,0,1,0,152,547,292,403,613,312,0,739,140,61,98,456,387,0,0,1,0,0,0,0
38,195,1211,1211,774,246,146,1761,33,44,16,0,1,0,137,1045,451,413,509,323,0,769,144,80,226,443,387,0,0,1,0,0,0,0
40,193,1219,1219,731,230,132,1724,34,43,16,0,1,0,151,783,367,402,547,249,0,726,140,67,160,515,387,0,0,1,0,0,0,0
40,197,1225,1225,748,268,153,1728,32,41,15,0,1,0,152,867,385,414,439,183,0,743,144,70,172,452,387,0,0,1,0,0,0,0
38,193,1234,1234,768,239,150,1755,27,41,16,0,1,0,137,689,341,408,526,157,0,763,142,66,136,455,387,0,0,1,0,0,0,0
40,196,1240,1240,759,272,167,1748,33,41,16,0,1,0,151,754,346,412,408,106,0,754,143,67,140,462,387,0,0,1,0,0,0,0
38,189,1245,1246,755,259,164,1744,35,41,16,0,1,0,137,701,373,396,444,113,0,750,138,67,163,481,387,0,0,1,0,0,0,0
170,170,1253,1253,0,0,0,1,116,50,15,0,1,0,593,0,478,0,817,647,0,0,0,0,243,1296,0,0,0,1,0,0,0,0
40,191,1261,1261,775,195,136,1760,29,41,16,0,1,0,151,577,363,396,664,222,0,770,138,66,156,407,387,0,0,1,0,0,0,0
38,195,1265,1265,751,231,154,1738,30,42,16,0,1,0,137,759,333,413,566,145,0,746,144,66,128,473,387,0,0,1,0,0,0,0
42,195,1271,1271,771,214,127,1758,28,41,16,0,1,0,165,664,367,402,607,268,0,766,140,67,160,449,387,0,0,1,0,0,0,0
40,191,1276,1276,769,225,126,1750,27,41,15,0,1,0,152,765,405,397,555,310,0,764,138,70,190,420,387,0,0,1,0,0,0,0
40,186,1282,1282,764,221,125,1746,32,41,16,0,1,0,151,574,387,376,553,269,0,759,133,66,174,428,387,0,0,1,0,0,0,0
38,194,1290,1292,772,270,156,1757,27,43,16,0,1,0,137,1095,475,412,431,308,0,767,143,84,240,414,387,0,0,1,0,0,0,0
38,189,1295,1296,749,230,128,1730,29,41,16,0,1,0,137,653,345,396,537,248,0,744,138,65,139,448,387,0,0,1,0,0,0,0
36,194,1300,1301,757,255,145,1742,29,43,15,0,1,0,129,784,339,416,488,191,0,752,145,67,134,466,387,0,0,1,0,0,0,0
38,197,1303,1304,760,208,109,1753,31,43,16,0,1,0,137,716,313,419,654,357,0,755,146,65,112,476,387,0,0,1,0,0,0,0
40,186,1309,1310,739,184,113,1716,31,43,16,0,1,0,151,733,413,376,697,374,0,734,133,69,197,417,387,0,0,1,0,0,0,0
104,159,1314,1315,530,139,83,1522,105,52,15,0,1,0,392,1002,590,245,357,391,0,530,66,53,315,1230,387,0,0,1,0,0,0,0
40,189,1316,1317,734,228,128,1718,30,41,16,0,1,0,151,793,404,388,534,286,0,729,136,69,189,465,387,0,0,1,0,0,0,0
40,198,1318,1319,740,233,134,1723,27,41,15,0,1,0,152,651,283,416,560,190,0,735,145,62,90,439,387,0,0,1,0,0,0,0
38,193,1325,1326,776,203,122,1763,29,43,16,0,1,0,137,654,354,408,648,298,0,771,142,67,148,436,387,0,0,1,0,0,0,0
38,191,1328,1329,758,201,125,1741,27,41,16,0,1,0,137,717,367,402,649,282,0,753,140,67,160,454,387,0,0,1,0,0,0,0
40,189,1337,1338,741,243,129,1733,32,42,16,0,1,0,151,531,320,388,491,216,0,736,136,62,117,494,387,0,0,1,0,0,0,0
38,193,1342,1343,786,217,127,1775,33,43,16,0,1,0,137,532,331,408,606,254,0,780,142,65,126,516,387,0,0,1,0,0,0,0
40,194,1350,1351,781,207,118,1772,34,42,15,0,1,0,152,609,360,407,635,329,0,776,141,67,154,475,387,0,0,1,0,0,0,0
40,189,1356,1356,756,224,132,1752,29,44,16,0,1,0,151,639,370,388,551,237,0,751,136,66,162,505,387,0,0,1,0,0,0,0
42,195,1363,1364,790,193,115,1777,26,43,16,0,1,0,165,711,422,402,688,387,0,784,140,74,205,409,387,0,0,1,0,0,0,0
38,191,1367,1368,782,232,137,1771,34,41,16,0,1,0,137,810,422,402,539,287,0,777,140,74,205,461,387,0,0,1,0,0,0,0
40,195,1372,1373,779,211,109,1768,32,41,16,0,1,0,151,496,306,408,624,342,0,774,142,63,107,500,387,0,0,1,0,0,0,0
93,170,1376,1377,565,256,165,1563,105,55,16,0,1,0,358,1249,674,263,256,247,0,565,77,81,361,1232,387,0,0,1,0,0,0,0
38,191,1383,1384,754,220,120,1749,35,41,15,0,1,0,138,657,338,403,591,291,0,749,140,65,133,503,387,0,0,1,0,0,0,0
40,188,1389,1390,743,218,131,1734,34,42,15,0,1,0,152,658,376,386,574,243,0,738,135,66,164,492,387,0,0,1,0,0,0,0
40,188,1393,1394,738,245,150,1732,34,41,15,0,1,0,152,821,420,386,475,212,0,733,135,71,204,509,387,0,0,1,0,0,0,0
38,189,1401,1402,729,238,126,1717,32,43,15,0,1,0,138,823,396,397,510,297,0,724,138,69,182,496,387,0,0,1,0,0,0,0
42,195,1412,1413,747,183,101,1740,30,44,16,0,1,0,165,648,327,402,725,384,0,742,140,64,123,537,387,0,0,1,0,0,0,0
40,195,1421,1422,778,209,129,1766,30,44,16,0,1,0,151,705,381,408,633,281,0,773,142,69,169,497,387,0,0,1,0,0,0,0
38,192,1424,1425,770,229,145,1762,33,41,16,0,1,0,137,504,296,405,557,143,0,765,141,62,101,519,387,0,0,1,0,0,0,0
40,190,1429,1430,684,234,141,1666,30,41,17,0,1,0,150,566,266,392,518,116,0,684,137,58,82,462,387,0,0,1,0,0,0,0
40,195,1437,1438,711,237,141,1688,31,43,16,0,1,0,151,820,341,408,530,204,0,709,142,66,136,442,387,0,0,1,0,0,0,0
173,175,1448,1448,0,0,0,0,110,47,16,0,1,0,603,0,478,0,817,647,0,0,0,0,243,1235,0,0,0,1,0,0,0,0
40,195,1455,1456,681,212,118,1669,30,43,16,0,1,0,151,922,354,408,620,329,0,681,142,67,148,503,387,0,0,1,0,0,0,0
38,193,1461,1462,672,256,161,1655,29,42,15,0,1,0,138,670,256,409,468,59,0,672,142,58,76,461,387,0,0,1,0,0,0,0
38,188,1465,1466,709,218,131,1696,30,41,16,0,1,0,137,805,380,393,581,255,0,708,137,67,168,485,387,0,0,1,0,0,0,0
36,189,1470,1471,714,220,126,1700,33,43,15,0,1,0,129,767,338,403,591,256,0,711,140,65,133,497,387,0,0,1,0,0,0,0
38,189,1474,1475,720,241,145,1707,32,42,15,0,1,0,138,796,373,397,503,191,0,715,138,67,163,507,387,0,0,1,0,0,0,0
38,189,1481,1482,773,228,135,1764,31,41,16,0,1,0,137,780,418,396,541,279,0,768,138,72,202,502,387,0,0,1,0,0,0,0
40,191,1484,1485,698,254,134,1680,27,41,15,0,1,0,152,743,335,397,461,215,0,698,138,64,130,458,387,0,0,1,0,0,0,0
38,194,1489,1490,701,257,152,1681,32,36,16,0,1,0,137,804,314,412,472,132,0,700,143,64,113,463,387,0,0,1,0,0,0,0
40,196,1492,1493,736,255,139,1731,31,44,16,0,1,0,151,879,388,412,474,245,0,731,143,70,175,530,387,0,0,1,0,0,0,0
40,190,1501,1502,660,242,154,1646,31,42,16,0,1,0,151,893,351,393,497,135,0,660,137,65,145,528,387,0,0,1,0,0,0,0
42,188,1507,1508,712,253,143,1692,27,43,16,0,1,0,165,713,387,376,448,189,0,710,133,66,174,448,387,0,0,1,0,0,0,0
122,167,1514,1515,548,214,143,1542,106,52,16,0,1,0,435,1159,574,233,139,352,2,548,57,83,548,1223,387,0,0,1,0,0,0,0
40,184,1516,1517,658,229,156,1631,28,41,15,0,1,0,152,920,412,370,506,152,0,658,132,68,196,419,387,0,0,1,0,0,0,0
38,191,1521,1522,737,200,123,1727,35,41,15,0,1,0,138,798,377,403,658,303,0,732,140,68,165,490,387,0,0,1,0,0,0,0
38,188,1524,1525,727,243,136,1729,37,44,16,0,1,0,137,589,316,393,494,181,0,722,137,62,114,576,387,0,0,1,0,0,0,0
