 ROA(C) before interest and depreciation before interest, ROA(A) before interest and % after tax, ROA(B) before interest and depreciation after tax, Operating Gross Margin, Realized Sales Gross Margin, Operating Profit Rate, Pre-tax net Interest Rate, After-tax net Interest Rate, Non-industry income and expenditure/revenue, Continuous interest rate (after tax), Operating Expense Rate, Research and development expense rate, Cash flow rate, Interest-bearing debt interest rate, Tax rate (A), Net Value Per Share (B), Net Value Per Share (A), Net Value Per Share (C), Persistent EPS in the Last Four Seasons, Cash Flow Per Share, Revenue Per Share (Yuan ?), Operating Profit Per Share (Yuan ?), Per Share Net profit before tax (Yuan ?), Realized Sales Gross Profit Growth Rate, Operating Profit Growth Rate, After-tax Net Profit Growth Rate, Regular Net Profit Growth Rate, Continuous Net Profit Growth Rate, Total Asset Growth Rate, Net Value Growth Rate, Total Asset Return Growth Rate Ratio, Cash Reinvestment %, Current Ratio, Quick Ratio, Interest Expense Ratio, Total debt/Total net worth, Debt ratio %, Net worth/Assets, Long-term fund suitability ratio (A), Borrowing dependency, Contingent liabilities/Net worth, Operating profit/Paid-in capital, Net profit before tax/Paid-in capital, Inventory and accounts receivable/Net value, Total Asset Turnover, Accounts Receivable Turnover, Average Collection Days, Inventory Turnover Rate (times), Fixed Assets Turnover Frequency, Net Worth Turnover Rate (times), Revenue per person, Operating profit per person, Allocation rate per person, Working Capital to Total Assets, Quick Assets/Total Assets, Current Assets/Total Assets, Cash/Total Assets, Quick Assets/Current Liability, Cash/Current Liability, Current Liability to Assets, Operating Funds to Liability, Inventory/Working Capital, Inventory/Current Liability, Current Liabilities/Liability, Working Capital/Equity, Current Liabilities/Equity, Long-term Liability to Current Assets, Retained Earnings to Total Assets, Total income/Total expense, Total expense/Assets, Current Asset Turnover Rate, Quick Asset Turnover Rate, Working capitcal Turnover Rate, Cash Turnover Rate, Cash Flow to Sales, Fixed Assets to Assets, Current Liability to Liability, Current Liability to Equity, Equity to Long-term Liability, Cash Flow to Total Assets, Cash Flow to Liability, CFO to Assets, Cash Flow to Equity, Current Liability to Current Assets, Liability-Assets Flag, Net Income to Total Assets, Total assets to GNP price, No-credit Interval, Gross Profit to Sales, Net Income to Stockholder's Equity, Liability to Equity, Degree of Financial Leverage (DFL), Interest Coverage Ratio (Interest expense to EBIT), Net Income Flag, Equity to Liability,BankruptClass
2386,2253,2097,1338,1347,1769,1927,1774,1296,1839,2884,991,1168,142,1629,866,873,874,721,514,3155,676,835,4721,5409,5167,5172,5207,327,3088,2082,1020,3670,3226,1485,3711,2854,1353,6336,2171,3,3359,3473,4618,238,440,2010,215,2215,408,4191,1782,80,6149,6625,6810,5307,4340,3952,5851,1253,3186,3493,5483,6727,5575,0,4508,4362,4568,1088,414,3630,3728,5129,129,5483,5575,3,6076,5657,1217,6211,2566,0,5221,1054,4548,2644,5706,4908,3260,3162,0,1918,0
251,480,443,3731,3740,276,329,502,574,486,2202,381,1566,257,0,104,111,112,330,625,384,189,243,5207,3173,3877,3881,3874,697,4296,2227,1775,587,584,856,5370,4068,139,4014,1642,3,305,429,2882,46,240,3666,1917,605,170,144,643,441,554,5122,3715,4533,1838,2784,6414,1889,424,284,2993,389,6633,4178,366,1277,6500,5173,4249,408,1778,6479,1070,2993,6633,64,5760,4939,2119,6526,6193,0,826,393,2113,6766,418,6685,1122,1024,0,141,0
1631,1640,1497,1649,1661,1364,1548,1471,1315,1541,664,1082,593,451,1444,662,669,670,560,244,3128,458,644,4755,4092,4552,4550,4584,424,4107,1735,251,2834,3239,2354,4381,3294,913,6027,2215,3,2040,2281,4970,244,254,3517,596,2133,515,2710,1071,91,5364,6648,6682,3754,3793,2262,6293,497,3134,2173,6101,6467,6079,0,2558,2260,6283,836,469,2904,3384,4694,329,6101,6079,3,5647,5155,344,5964,3517,0,3199,134,3235,3408,3781,5660,4806,4708,0,1166,0
1644,1717,1503,639,639,1369,1544,1464,1304,1534,2551,1114,2355,581,1557,991,997,999,649,884,3599,569,743,2535,2173,2101,2091,2024,1664,2579,908,2986,2730,3119,1489,4419,3320,887,4486,417,3,2810,3029,4415,307,588,1371,1587,1723,577,5099,1640,1671,5031,6761,6461,5507,4177,3916,6214,3441,1608,671,5180,6229,6047,442,3374,3949,3286,6025,5165,1973,3568,3178,1536,5180,6047,1046,3656,3502,4286,3815,3639,0,3922,1053,5042,921,4651,5700,3278,3180,0,1126,0
3161,2884,2911,2944,2953,2264,3721,3509,2469,3526,1310,544,274,98,1461,903,910,911,803,447,554,435,936,4357,3252,5105,5108,5107,1688,3379,2479,803,4536,4924,1177,809,750,3457,3809,363,3,1851,3842,1884,52,112,5019,516,96,65,630,1195,2005,4032,3611,2366,4088,5569,4901,1330,274,1511,1603,3066,3146,1204,452,6131,6179,3313,4185,3584,5668,882,5832,3302,3066,1204,374,5283,5791,626,4940,1627,0,6519,448,5281,5816,6262,1071,2057,1959,0,5755,0
1827,1731,1667,2456,2313,2323,2624,2424,1516,2476,448,991,1902,252,1271,826,833,834,575,636,726,466,650,3096,3529,4566,4565,4626,1591,3332,1535,1665,1512,2008,2189,2536,2080,2127,1453,1964,3,2106,2385,2528,50,123,4930,2252,2443,85,345,1140,3203,1579,2190,1735,1764,2116,1792,3670,2356,5261,2322,2641,1509,3589,2001,3314,4602,1882,3612,2520,2464,3604,451,5232,2641,3589,1621,687,805,2304,706,5090,0,3853,1021,2050,5047,3765,3448,4596,4498,0,3378,0
3226,3030,3086,3579,3588,3337,3130,3078,238,3133,866,1517,4626,0,0,1065,1071,1073,749,1164,1025,888,1013,5502,5960,5919,5923,5936,757,4495,2901,3079,5239,5379,1154,762,708,3499,6408,8,3,3946,3274,662,133,1278,270,170,2040,167,4740,2939,519,6172,5993,5246,4679,6040,5011,1942,6237,1635,3130,5709,5432,1621,0,5569,4132,6048,4529,3746,6087,649,6273,143,5709,1621,3,6203,6417,5876,5950,899,0,6145,2663,5917,6609,5644,1007,1879,1781,0,5819,0
2998,2698,2711,3204,3211,3059,3376,3057,1529,3090,776,1235,5333,1001,1480,1348,1355,1358,856,1314,1509,811,1006,3172,3576,3707,3708,3459,1578,2497,1835,3314,4147,4847,1140,887,819,3388,1155,144,3,3778,4050,1123,87,331,2767,1885,90,107,595,1497,3180,3788,4056,2425,1601,5449,2478,1786,6626,693,0,3927,2977,1576,470,5863,5718,4154,1357,1966,4066,3345,713,5954,3927,1576,397,599,417,6737,856,2052,0,6338,1312,4854,6169,5983,1186,1504,1406,0,5640,0
98,61,82,47,47,47,70,67,2477,66,2228,890,138,4,0,270,277,278,146,218,118,36,160,2,572,2076,2066,2084,339,2902,1024,108,155,361,1099,2931,2338,1869,465,2478,3,33,182,661,22,583,1391,206,2330,35,12,599,1034,167,903,533,3009,509,2356,4996,113,520,1059,4504,249,4667,1912,172,382,6484,4827,3743,47,1616,896,6080,4504,4667,1110,2002,2012,54,2023,6659,0,116,1175,1547,47,188,3947,1347,1249,0,2879,0
814,160,639,258,259,163,140,141,127,252,1895,834,816,132,0,277,284,285,328,542,159,214,260,4840,3497,1683,1674,3438,1478,477,946,1089,3490,4176,1056,1921,1637,2570,1177,1735,3,380,385,694,28,368,2483,323,2378,36,295,388,5058,3528,3884,2733,1802,4673,2228,2700,933,1889,1346,2216,3175,2640,2089,160,202,5594,5134,4209,6238,3988,368,5810,2216,2640,1892,1005,958,1071,1131,2767,0,210,3739,6739,273,319,2613,1308,1210,0,4213,0
92,119,95,3685,3693,74,141,143,2435,127,2230,922,46,925,0,327,333,334,244,273,145,86,235,4193,1614,2760,2757,2704,1735,3685,1391,227,5771,5772,977,485,463,3744,4888,227,3,89,423,1402,32,130,4868,1901,203,40,42,402,527,6689,6570,6332,2074,6470,3344,1176,34,1619,4860,5189,6371,983,4192,216,881,6681,5399,4338,6729,107,808,2073,5189,983,54,1585,920,71,1893,360,0,188,60,3719,6719,403,613,1162,1064,0,6213,0
2556,2487,2436,2475,2375,2083,2276,2199,1358,2258,806,1535,3600,0,550,883,890,891,678,721,1890,568,764,3167,3245,3770,3773,3764,61,3709,1735,2200,5531,5358,1140,771,717,3490,4425,8,3,2802,3005,1763,161,977,599,154,816,201,2617,1546,1283,6423,5713,5635,6536,6124,6397,1478,5027,2552,5765,3756,5945,1289,0,5346,4069,5823,1564,776,5018,1538,5687,2552,3756,1289,3,6215,6418,3837,5965,602,0,5840,278,4422,5083,5229,1019,1454,1356,0,5807,0
2116,1184,1857,2628,2641,1130,1525,1503,1540,1433,1609,680,4564,0,0,662,669,670,461,751,527,339,511,5316,4945,5088,5092,4975,1475,1620,2356,2525,5703,5801,1140,610,573,3634,3872,8,3,1065,1425,610,57,397,2280,1884,141,67,765,908,1774,6490,6555,5620,4698,6503,5465,1058,6002,695,6499,3404,5983,932,0,974,1993,4806,4960,4140,6460,1048,284,3276,3404,932,3,304,186,5024,497,428,0,2150,423,6588,5334,1971,785,1454,1356,0,6041,0
3039,2824,2743,652,654,1664,1816,1681,1289,1746,2356,973,183,141,1642,855,862,863,799,47,3525,780,1074,5561,6246,6239,6246,6262,751,4493,2890,80,3297,586,1454,4318,3253,954,3252,3118,3,3710,3852,4663,369,1502,54,299,1669,689,5436,2623,5138,5387,1736,6135,5033,722,3837,5589,180,5635,6095,3236,6448,5667,1614,4903,6645,260,6000,4459,2219,3470,5070,2977,3236,5667,2847,6303,5804,59,6527,2990,0,5563,1161,537,952,6287,5591,3179,3081,0,1235,0
1971,1837,1974,3031,3036,3067,2652,2847,487,2893,339,1349,757,334,0,869,876,877,582,498,482,524,636,5349,5866,5651,5665,5690,267,4073,2537,1125,4284,4419,2371,2410,1991,2216,1036,2350,3,2533,2104,1890,40,175,4430,2199,2393,68,395,1403,5214,3897,2977,2413,5462,4981,5686,1629,1078,2798,3884,616,3769,2038,3249,1513,4640,2012,4900,3906,6119,2144,6549,6161,616,2038,3273,5998,5811,1147,5944,1899,0,3976,3197,87,5939,3839,3285,4807,4709,0,3541,0
798,568,692,364,360,566,769,746,1150,724,347,0,614,21,0,412,419,420,356,465,605,258,385,541,606,1067,1059,1111,1597,2122,919,803,3245,2793,1024,2390,1978,2229,1562,1166,3,554,814,3186,66,193,4218,2287,50,99,79,828,1061,4263,3790,4332,1810,3296,1633,4248,589,4414,4596,4026,4106,3897,1107,1022,321,2000,4470,3005,5245,3485,2382,5096,4026,3897,1262,2471,2430,678,2525,3050,0,792,928,6379,412,859,3259,1232,1134,0,3567,0
2710,2590,2567,3396,3406,3036,3341,3161,1486,3208,1285,309,3487,77,651,520,527,528,695,820,741,588,761,4975,5579,4401,4401,4936,42,3351,2063,3020,1767,2562,1343,2635,2141,2066,666,1799,3,2918,3123,2627,70,160,4595,2359,19,112,104,1171,1823,2113,3621,2785,4252,2885,3589,4489,4921,3959,1529,3985,2019,4210,1221,1916,5312,4236,3486,2867,2863,526,1596,5951,3985,4210,1156,1783,1784,5433,1841,4782,0,6020,185,2774,6412,6154,3566,2507,2409,0,3260,0
1331,1201,1245,1094,1109,1388,1300,1275,1026,1345,32,1379,2276,455,0,520,527,528,463,977,3475,534,500,4260,6180,4816,4819,4875,1632,4092,2642,3294,982,900,3598,5307,4015,192,2418,3443,3,2597,1331,4999,226,938,650,176,1121,661,4663,1417,2690,1437,4179,5299,4671,1012,2700,6624,3195,6357,3349,4522,2229,6636,1083,965,1621,5795,6114,4931,989,3524,4805,2484,4522,6636,2559,5831,5063,4538,6500,5740,0,1680,3898,1332,2032,1762,6621,6163,6065,0,205,0
1426,725,1162,586,637,534,565,549,627,528,804,123,2721,232,0,235,241,242,314,743,526,259,353,4982,4649,4294,4296,4170,1299,493,2050,2086,174,497,286,5175,3905,302,290,4188,3,561,636,2178,33,270,3339,245,2332,103,942,636,5906,232,653,371,195,530,185,4050,2883,507,1124,604,174,5702,4043,658,558,2846,1330,358,169,3174,596,6498,604,5702,4190,1172,1614,3853,615,6640,0,811,5023,4971,812,498,6489,343,245,0,337,0
897,850,803,1087,1106,867,1107,1079,1300,1005,635,229,3552,244,0,393,400,401,357,856,1479,274,429,5373,4577,4436,4438,4182,1418,1035,1884,3057,3322,2411,319,3979,3025,1182,3710,2534,28,633,955,3874,102,767,932,2175,402,204,4495,445,4745,4610,3336,4869,5247,2555,4467,4568,4590,4943,5380,2016,5479,4930,2329,950,1259,5263,2571,5355,4062,463,5809,2836,2016,4930,3277,6095,5626,5595,6285,2961,0,1124,4922,2582,2014,1046,5218,369,271,0,1608,0
2174,1965,1979,2718,2733,2451,2601,2438,1311,2453,859,72,3692,0,1053,643,650,651,592,758,869,505,661,3747,4947,5642,5655,5601,1430,2548,2431,2673,3988,4449,1140,1297,1173,3034,2589,8,3,2387,2529,1318,75,213,4003,1177,138,107,3577,2151,5412,4500,4916,3678,5119,5126,4978,2900,5264,1586,1267,4634,3801,2511,0,2436,4552,3981,3230,2992,4868,870,4582,4322,4634,2511,3,4475,4843,4867,4258,2220,0,5049,2356,5039,5486,4518,1769,1454,1356,0,5057,0
174,172,164,219,257,370,286,289,221,273,889,1171,1388,231,0,497,504,505,152,579,589,190,124,199,226,50,50,46,895,1770,123,1385,2775,2349,947,2058,1741,2466,1214,1053,3,308,201,3259,54,121,4949,2147,5,86,408,604,3216,3277,2707,3285,2132,2518,2006,3908,1611,4921,4617,4256,2987,3547,889,440,181,5623,4148,2285,4567,3598,2274,5537,4256,3547,884,2428,2342,1612,2495,3587,0,195,2632,2736,229,303,2790,1150,1052,0,4036,0
1482,1519,1319,890,894,1359,1498,1410,1268,1478,2810,1077,2515,248,2157,693,700,701,543,891,3323,480,625,3796,2365,3667,3665,3619,1609,4119,1384,2971,2496,2186,2944,4633,3486,721,5411,3444,3,2185,2236,4845,231,430,2075,227,2084,567,4983,1526,989,4572,5720,6211,2289,2754,1317,6205,3632,4659,3730,4446,6050,6135,874,2581,2519,4819,6252,5123,2287,2581,1776,802,4446,6135,1856,959,1369,4654,641,3916,0,2822,3302,2790,1526,3388,5926,5417,5319,0,900,0
1152,1223,1141,1939,1964,1575,1346,1379,892,1423,786,1171,839,375,0,698,705,706,466,444,1047,401,500,2880,1878,1100,1091,1051,1511,1183,715,639,1830,2265,3418,3449,2679,1528,3585,2984,122,1581,1336,3386,64,52,5321,518,374,112,1762,1116,2220,2693,5413,4222,2470,3357,1700,5563,802,2359,680,4898,2903,5272,537,3099,1848,4263,4392,3723,3624,3654,1382,2626,4898,5272,771,1567,1703,779,1508,4704,0,1881,1343,3976,4053,1897,4575,6107,6009,0,2251,0
1198,1152,1084,1313,1321,1407,1490,1360,1208,1446,250,1210,3371,55,2376,532,539,540,470,662,1116,380,522,1240,2199,1231,1224,1225,1340,1217,922,1748,4961,4185,2442,1540,1356,2851,3350,1125,3,1410,1504,2473,95,493,1749,2260,270,137,1059,999,1505,4691,2050,2848,2900,4743,4146,1132,3787,4141,6143,837,4110,1280,2516,1966,1915,4383,647,5075,4179,3496,2238,3889,837,1280,2330,2096,1865,3281,2228,1190,0,1984,431,3830,2579,1906,2108,4440,4342,0,4718,0
1789,766,1240,1301,1309,1045,1067,576,971,549,612,1400,4540,92,0,992,998,1000,346,839,397,334,466,493,828,654,652,622,1417,671,658,2009,715,2294,598,2694,2180,2027,313,2817,791,1021,1154,345,25,268,3360,1885,2358,40,703,886,6310,756,489,126,881,2310,2174,804,4330,693,0,190,750,1294,4080,1313,207,646,835,1440,767,3586,3707,6787,190,1294,3741,3244,3265,4629,3228,6048,0,1026,4650,2315,2555,1042,3651,216,118,0,3175,0
454,712,550,524,517,927,1126,1136,1246,1176,2867,0,290,9,0,691,698,699,301,51,3395,166,297,820,29,103,101,89,106,661,659,24,2051,1979,841,5112,3852,355,6433,3857,3,233,440,5187,216,270,3342,168,2292,485,4915,416,36,4411,6078,6772,1390,2122,593,6665,213,5185,3741,6448,6545,6567,0,1423,1085,4266,1295,5335,2452,3167,2437,40,6448,6567,3,1945,2234,51,1517,4441,0,1044,2008,2148,692,763,6422,1056,958,0,404,0
2048,1882,1973,1715,1729,1608,1719,1697,1248,1770,501,0,3938,0,178,791,798,799,653,1213,2987,557,694,2448,3081,3886,3890,4129,1514,2371,1546,3491,1574,2420,1140,3568,2756,1451,4367,8,732,2731,2746,3497,193,415,2164,955,1486,362,3788,1443,1086,2370,5004,4383,4436,2596,3092,5869,5674,4477,1584,6322,2569,5523,0,4716,3004,6133,6071,4555,1385,3518,4013,1806,6322,5523,3,4812,4554,6555,4930,5013,0,4693,1208,2499,3566,5032,4726,1454,1356,0,2100,0
838,739,744,1779,1800,1105,1116,1019,987,1161,1016,1501,476,0,0,518,525,526,422,531,918,336,453,1449,747,98,96,1031,1306,975,860,1025,4822,4522,1140,492,469,3738,1284,8,3,1036,1086,1306,93,612,1306,117,67,115,1065,900,3421,4193,2425,2278,4582,5236,5412,1004,428,3268,5441,4190,3118,872,0,1613,1222,5739,56,5155,3725,3932,1830,5936,4190,872,3,1621,962,974,1924,1334,0,986,247,3308,3712,1152,624,1454,1356,0,6202,0
678,740,621,1152,1166,955,1195,1146,1329,1174,578,0,2637,271,0,838,845,846,339,733,3079,227,402,1263,332,558,553,487,1300,793,514,2261,4054,3732,746,2286,1901,2306,3875,1201,3,421,829,2704,214,951,635,354,1154,341,2491,771,816,5689,5440,5663,2965,4448,2585,4337,3862,3528,4620,4586,5639,3916,526,1200,1322,6439,6060,5000,2748,3251,2088,2756,4586,3916,805,1280,1270,3804,1353,2149,0,950,4274,3144,2174,1002,3121,790,692,0,3705,0
716,755,674,2621,2633,749,1044,998,1391,1020,1768,637,5172,144,0,764,771,772,373,1016,1247,250,420,1385,553,772,771,738,1261,944,357,3384,5548,5469,742,957,878,3329,5454,767,3,517,907,2392,88,95,5138,239,1327,121,2452,606,825,6648,6710,6402,6000,6344,5974,1865,6498,1315,2710,3742,6492,1655,409,1489,1336,6493,4076,3525,5977,1301,4584,1338,3742,1655,619,4784,5299,6574,4463,584,0,967,1330,4345,5319,1105,1285,819,721,0,5541,0
1444,1390,1406,2599,2613,1830,1970,1969,1282,1999,1250,455,3716,0,0,1147,1153,1155,514,650,641,404,556,3850,3893,2858,2861,4119,1375,1725,1428,1775,5460,5500,1144,114,120,4087,1059,8,3,1605,1760,1380,49,119,4969,13,2410,56,1527,1201,5818,4053,2431,1585,3083,6162,5272,297,5388,1960,4720,5424,2828,264,0,2675,3075,3462,2951,2460,5523,3982,173,6382,5424,264,3,160,45,2765,345,675,0,3012,702,4981,5283,2458,148,1677,1579,0,6678,0
79,83,64,1059,1075,801,509,465,319,477,709,1146,2929,513,0,257,264,265,32,807,2479,189,54,2643,472,135,134,145,1174,62,60,2988,2306,2188,779,4914,3694,513,5003,3965,491,302,44,4233,140,236,3724,800,982,298,4956,239,1952,3401,5631,4590,3393,3696,2502,5407,3696,2344,945,1926,5085,5941,2374,401,492,6703,6173,5298,2015,3378,3288,1268,1926,5941,3626,3619,3419,4933,3893,4140,0,63,1798,3026,1938,60,6215,870,772,0,611,0
592,676,605,426,416,637,729,759,871,750,263,1315,395,234,0,770,777,778,310,318,1031,236,335,460,488,608,605,577,1466,713,888,469,1225,896,476,3450,2681,1526,1192,3237,3,454,570,3007,58,219,3928,2289,1,99,1451,638,4993,1403,1561,1984,415,1092,364,4312,446,6133,3812,2243,1431,4473,2838,1114,506,2327,2868,412,1733,3180,3293,5455,2243,4473,2844,3204,3198,384,3224,5450,0,844,2182,1047,513,832,4578,565,467,0,2248,0
393,425,377,2819,3198,2246,355,352,94,359,1590,137,3455,539,0,294,300,301,230,890,519,429,261,1109,4704,341,341,331,1205,287,430,3404,622,734,462,4251,3207,1000,2054,3288,247,1807,361,3435,39,54,5315,1919,80,87,1567,1399,4321,629,2194,2530,956,855,638,5710,4829,58,2750,3678,610,5707,1869,590,858,6379,4289,2566,609,3372,4497,3940,3678,5707,2135,4001,3783,6038,4160,6156,0,371,661,1295,5646,318,5518,497,399,0,1308,0
70,108,83,268,268,322,175,185,110,175,1187,1162,1296,109,0,272,279,280,204,577,264,246,243,207,137,9,9,123,1330,456,79,1356,4630,4466,1132,909,835,3372,3899,310,3,508,307,1422,44,248,3584,2229,162,54,445,541,1510,5058,4035,3773,5366,5234,5461,2089,1458,2929,4724,4679,4114,1769,0,246,276,6313,4758,3706,6084,1759,6386,3114,4679,1769,3,6042,6234,1548,5761,1533,0,126,365,5184,285,293,1212,1409,1311,0,5614,0
120,111,98,1661,1752,597,157,148,63,134,1497,43,2574,298,0,151,159,160,28,841,730,252,53,525,334,259,258,63,1219,50,110,2895,62,383,791,5390,4086,121,1358,4231,1392,524,43,2723,36,122,4934,1192,55,105,180,799,1391,37,1349,519,593,426,290,6123,3229,655,177,2050,30,6611,3555,309,329,6533,1340,1602,57,3287,1009,3694,2050,6611,3965,1494,1960,4711,700,6754,0,91,2212,780,3434,46,6705,885,787,0,121,0
1719,1541,1506,3257,3264,2071,3214,2792,2223,2780,1715,1309,5385,0,2042,951,957,959,528,714,283,384,602,634,1050,1406,1396,1332,1352,1180,485,1585,6087,6041,1140,30,37,4170,2573,8,3,1447,2102,564,29,239,3676,2121,2405,32,761,1162,5075,6203,4954,3976,5562,6772,6622,78,6644,1533,6267,3421,4919,78,0,6254,3496,3875,5200,4240,6660,2216,279,5000,3421,78,3,696,85,4222,1120,43,0,3663,615,6113,6238,2826,48,1454,1356,0,6778,0
1499,1615,1552,3765,3772,2756,2014,2066,452,2205,2152,297,4054,0,0,591,598,599,530,658,600,500,556,2703,5956,5521,5536,5578,1448,1931,2238,1998,5870,5876,1140,276,272,3935,6162,8,3,2348,1765,1104,70,239,3684,1003,1588,80,88,1092,24,6438,6336,5223,6557,6608,6590,543,5543,728,15,3972,5661,471,0,3302,2036,6737,4513,3892,6266,2219,6540,472,3972,471,3,6530,6697,3482,6294,261,0,3845,73,3623,6800,3065,346,1454,1356,0,6480,0
178,215,220,172,173,146,205,246,923,232,1920,312,256,149,0,301,307,308,255,445,267,136,267,4086,2885,2856,2858,2768,1331,355,1323,563,2467,1021,1049,1509,1334,2873,664,1321,3,179,375,1660,39,502,1703,2108,2395,51,84,530,2751,2404,1030,1918,3250,1288,3468,2945,228,5586,5328,3813,1993,2618,0,439,281,5577,4202,888,4290,478,5131,6202,3813,2618,3,4411,4675,343,4204,3950,0,245,540,1889,179,396,2068,1292,1194,0,4758,0
2539,1072,2195,1833,1854,1345,1277,1248,1026,1321,872,126,4720,214,0,678,685,686,452,854,286,350,490,5353,5136,4778,4781,4845,1348,1121,1867,2393,578,1418,3719,860,796,3411,1334,1048,3,1148,1266,439,30,241,3660,1096,2388,39,950,975,5689,661,801,300,1566,1593,2302,2003,6248,249,713,4780,666,1696,912,1716,1528,1772,1652,1629,596,3765,2236,5777,4780,1696,342,2608,2348,6037,2707,6203,0,1531,5667,2568,3819,1525,1148,16,6158,0,5678,0
557,619,540,1131,1144,949,975,949,914,988,559,1094,1076,242,0,523,530,531,231,425,2808,244,256,1162,615,320,321,316,1380,341,515,542,924,1358,532,5198,3927,280,956,3907,3,489,345,5035,118,168,4499,45,345,341,3661,687,4230,1283,4793,5025,1779,1376,813,6565,1127,6317,2353,4646,1756,6571,995,1027,1011,5632,1682,444,1086,3266,1164,4047,4646,6571,2201,750,1302,905,302,5810,0,744,3005,1560,2123,434,6512,588,490,0,314,0
1089,1256,1109,1821,1845,1377,1388,1408,1132,1484,838,1404,1049,250,0,826,833,834,502,381,2420,418,524,2589,2773,4888,4888,5054,1541,1553,1317,604,1121,691,3238,5151,3885,322,2182,3951,1284,1726,1521,4719,81,194,4210,2234,517,238,1275,1000,1646,1699,4366,5045,2287,1318,1161,6456,1105,6132,3064,4206,2656,6511,1480,1987,1975,4346,4106,2476,1824,3490,1421,3119,4206,6511,2890,1418,1840,890,898,5572,0,2044,2094,1445,3798,2375,6463,5968,5870,0,363,0
1131,883,1058,1946,1969,920,1145,1142,1301,1177,1315,517,900,89,0,260,267,268,426,549,898,306,461,2818,118,66,65,45,1332,1094,1193,1096,4669,3976,800,1918,1635,2572,3546,680,3,820,1127,3533,106,314,2918,2267,428,161,1914,775,1678,5890,4651,5295,3420,4857,3542,3053,984,3683,5635,2839,5701,2875,1023,212,1432,6251,2475,745,4923,3550,923,3304,2839,2875,1270,560,612,1130,673,1492,0,1229,624,3596,4068,1266,2610,979,881,0,4216,0
255,256,234,1575,1587,741,610,602,482,555,1237,282,2041,418,0,428,435,436,192,612,1236,249,243,1493,313,407,405,343,1228,286,125,1500,4080,4498,851,1896,1620,2587,3981,1689,3,510,308,2529,101,202,4125,362,540,148,3548,469,2969,4277,4213,3178,631,5076,984,2443,2460,2070,2158,1881,3864,2458,2159,572,796,6567,241,114,3391,3091,340,3009,1881,2458,2112,94,205,2288,121,2123,0,243,1083,3535,3226,359,2581,988,890,0,4245,0
1193,1260,1174,1269,1277,1490,1298,1326,925,1393,123,1095,1273,480,0,547,554,555,464,549,1345,401,493,2211,2121,1388,1379,1904,1510,1384,1183,1200,1521,1684,3550,4427,3327,880,2534,3652,1728,1586,1283,4164,75,82,5206,187,265,161,3550,1267,4769,2248,5028,4358,1254,2561,777,5910,1438,4502,1496,3912,2830,5887,1359,1626,1823,2841,3950,3193,2663,2749,4282,3347,3912,5887,2058,4154,3914,1395,4418,5081,0,1784,3505,3025,2476,1829,5708,6226,6128,0,1118,0
748,1558,637,2239,2254,728,2060,1944,2217,818,1629,415,4292,101,1023,786,793,794,339,981,974,264,594,389,679,2533,2526,572,1495,1755,1076,3271,4483,3700,1749,1747,1507,2700,5648,1691,3,590,2037,1481,71,259,3464,2205,687,101,1044,735,472,6120,6435,6053,5982,5452,5349,3958,5978,1849,2260,5905,5947,3448,54,3076,2579,5802,4797,3945,6065,1762,6620,981,5905,3448,196,6644,6514,6310,6605,1682,0,3448,1347,4788,4661,3176,2392,3908,3810,0,4434,0
1440,1610,1450,1462,1469,1508,1634,1622,1264,1689,310,1229,3883,230,5,579,586,587,587,1137,2695,480,626,4351,5771,5452,5463,5460,1180,2533,2173,3531,2825,3357,1904,3711,2854,1353,3940,1195,3,2209,2280,4495,145,136,4809,282,1132,360,4737,1681,2765,4915,6363,6152,2037,3867,1243,5957,5621,2928,1921,6318,5598,5645,4146,2029,2907,5829,714,443,2842,3221,2503,2101,6318,5645,38,2074,2169,6550,2012,3528,0,4113,3558,3613,2954,4497,4909,4363,4265,0,1917,0
1495,1670,1511,2242,2256,2315,1907,1920,707,1905,379,1488,3895,26,0,1140,1146,1148,590,1015,1878,633,642,1285,1850,1432,1425,1324,1383,1439,425,2940,4288,4649,1311,1959,1663,2544,5858,1150,378,3176,2391,1734,93,198,4170,429,1602,142,2326,1634,443,6005,6502,6015,3538,5344,3123,4298,5610,1618,1579,5817,5881,3716,0,4641,3102,5415,3944,3384,5421,3669,3013,686,5817,3716,3,3022,3036,5959,3012,1894,0,4092,3115,5629,4668,3818,2664,2902,2804,0,4162,0
144,211,129,535,530,744,800,767,856,689,211,1412,517,309,0,366,373,374,14,56,3479,39,46,1147,265,144,143,120,229,585,82,27,597,1111,686,5465,4161,46,1361,4307,1463,38,37,5222,184,477,1825,130,1311,629,4075,380,1880,500,5471,5642,5388,1089,2991,6795,427,101,1920,5612,250,6789,266,651,616,6037,984,5375,636,3930,5075,2083,5612,6789,1319,5776,4872,128,6707,6183,0,311,4936,1242,721,69,6780,752,654,0,46,0
1586,1647,1802,3366,3373,1512,1685,2160,1312,2160,1888,821,2925,39,0,783,790,791,537,680,719,378,533,3390,3495,3546,3539,3616,1551,2036,1585,2087,4341,4511,1379,962,882,3325,4846,1218,3,1387,1590,1466,64,177,4410,62,425,80,878,1019,965,4812,4953,3755,5152,5400,5157,2493,4457,1585,1551,5944,3911,2076,0,4618,2592,6099,4171,3568,5591,1293,6190,2007,5944,2076,3,6004,6191,3427,5740,1836,0,3798,119,3880,6376,3253,1294,3818,3720,0,5532,0
