variance,skewness,curtosis,entropy,class
606,603,135,594,1
671,778,74,353,1
490,756,128,208,1
80,781,427,154,1
1,1117,568,95,1
38,732,708,428,1
111,445,655,690,1
272,432,376,545,1
458,655,163,443,1
446,617,209,454,1
243,554,397,450,1
102,594,531,304,1
204,342,906,725,1
83,150,1206,513,1
28,179,1213,493,1
86,814,482,334,1
432,578,325,433,1
195,218,1076,735,1
46,20,1260,233,1
60,78,1233,362,1
135,369,895,920,1
441,740,343,356,1
677,387,571,893,1
386,86,1137,1093,1
123,24,1253,569,1
165,70,1210,1075,1
370,380,770,1146,1
424,666,225,363,1
526,697,291,270,1
697,416,506,835,1
494,117,1070,949,1
299,44,1199,737,1
456,137,1055,1055,1
587,399,516,1091,1
604,681,121,288,1
22,915,687,27,1
420,652,394,350,1
562,311,837,1097,1
407,41,1195,685,1
163,6,1249,293,1
443,89,1081,867,1
625,368,463,1086,1
738,746,41,191,1
174,830,430,125,1
445,386,731,879,1
377,90,1097,738,1
289,30,1196,434,1
626,209,833,1115,1
832,509,243,1004,1
826,793,15,183,1
68,970,522,31,1
255,407,914,906,1
346,155,1071,1089,1
459,120,1032,857,1
804,447,289,1102,1
918,818,21,342,1
789,844,0,45,1
26,1103,459,44,1
162,630,619,669,1
374,301,781,1022,1
565,299,519,927,1
798,593,140,794,1
818,753,78,432,1
607,718,129,268,1
127,743,411,201,1
15,1073,500,193,1
72,680,684,593,1
201,379,693,888,1
451,396,390,777,1
605,641,187,599,1
561,600,219,559,1
376,526,412,550,1
273,567,546,392,1
435,325,925,961,1
175,124,1218,660,1
49,156,1223,631,1
232,789,465,449,1
657,548,326,622,1
411,191,1094,860,1
100,4,1266,277,1
119,66,1240,451,1
211,359,903,1082,1
